,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
primary_iga_score_tomaras,5.7654157e-05,-0.00010348381,-2.8831771e-05,0.0004185472,-4.8100268e-05,1.8655343e-05,0.00018878664,-2.0440966e-05,-0.00013986984,0.00015158234,-0.00039303297,0.00019388573,0.00019314796,-0.0005081814,-0.00028950706,-0.0002582139,0.00015803258,-2.4257153e-05,-3.8723603e-05,0.000104335224,0.00028970087,-8.5369255e-05,0.00030294032,2.6697865e-06,-0.00035570233,-0.00046834868,-6.890993e-05,0.00014174123,0.00023998978,-0.0003424688,3.9729264e-05,-0.00010807367
primary_adcc_luc_92th023_evans,0.00013646662,0.00010263955,7.638394e-05,0.00025053247,-3.5849658e-05,-8.201802e-05,-0.0001985189,4.6101613e-05,-0.00010402577,-0.00019016153,8.288626e-05,-0.00020877409,0.000111765796,-7.0098315e-05,-0.00021152775,1.51463455e-05,6.340154e-05,-0.00024270566,6.129739e-05,6.8042296e-05,-6.3701904e-05,5.024122e-05,-0.00021789155,0.00016471928,-0.00023144462,5.025981e-05,-0.00010453962,-1.8523117e-05,4.9030286e-06,1.3515478e-05,-0.00014723615,-0.00015630019
primary_nab_tzmbl_a3r5_auc_afrims_siriraj_montefiori,-0.00029199285,-0.0003977449,-0.00018892466,-0.0001535117,-0.00029391545,-0.00010591513,-0.00017933607,7.100552e-05,0.00027345604,0.0003464073,-1.4490596e-05,-0.00033454178,-0.00052284554,-0.00023042886,-6.657341e-05,0.00020002644,-3.429806e-05,9.200363e-05,0.00034543217,0.00021737725,-0.0002868089,0.00012172562,0.00028384835,-0.0003305753,0.00016163928,0.00034698824,-9.5252135e-06,-0.0004933845,-0.00030657882,-2.4744557e-05,0.00034730448,6.927451e-05
primary_v2_gp70_v1v2_zollapazner,-0.00047195758,-0.00056055,0.00040225466,-0.00023596452,-0.0003217439,0.00035203891,-0.0005160554,-0.00010834041,0.0002296656,-0.0005901553,-0.00015033015,0.00014424614,0.0001817022,0.0009076671,-4.4092285e-05,0.00021943978,-0.00010897804,-8.676734e-05,-0.0005099019,0.00014641814,-0.00017929105,-3.8550792e-05,9.383511e-05,-0.0002265711,0.00036499038,0.00044400533,0.000302576,-0.00036864626,-0.00029466103,-0.00042122352,-0.0005815498,0.00052336
toggle_iga_gdneg_delta11_tomaras,7.8249504e-05,0.00010000449,-0.00018373351,0.00023005261,9.384053e-05,0.000311699,0.00012542405,-0.00030211022,-0.00042764496,0.00040696247,-6.5417495e-05,0.0003615405,7.840067e-05,5.4434196e-05,-0.00016463503,-0.00029810486,-0.00026541442,0.00054509216,-4.2035088e-05,-0.00043754035,0.00073766016,-0.00014739492,0.0003460459,-3.675213e-05,-0.00037250997,-0.00039295133,0.00018330809,0.00044307832,0.00032306035,1.5087156e-05,-0.00014819588,-0.00014453602
toggle_adcc_gp120coated_A244_ferrari,0.00024452526,3.6874568e-05,9.822914e-05,-8.438677e-05,-3.0493218e-05,0.00022582276,0.00028030796,-6.794777e-05,-9.904275e-05,0.000240243,-0.00014813957,0.00027101388,-3.4312952e-06,-6.743179e-05,-6.4074964e-05,-0.00022614139,5.190324e-05,-7.2886556e-05,-4.067163e-05,-0.00032179756,0.00015660418,1.0547787e-05,-0.000121104924,0.0002350547,-0.00027409385,-0.00027401285,-9.594743e-05,0.0004116092,0.00026783915,-0.00016757892,-0.00010239492,-7.348479e-05
toggle_nab_tzmbl_aucmb_siriraj,-4.4166554e-05,-0.00012276541,0.00014385885,0.00010905384,-3.1496358e-05,-0.00013022558,-0.00045542108,-0.00014524393,5.726281e-06,-0.00013511676,-9.3805735e-05,-0.0003714221,-0.00012046814,-0.00045752394,-6.0494633e-05,9.290046e-05,-2.3994282e-05,-0.00022064218,-2.8682041e-05,0.00017709799,-3.725035e-05,0.00016737549,-1.1936327e-05,-2.126861e-05,4.0265757e-05,0.0003025098,-4.111375e-05,-0.0002880897,-0.0002485332,-0.00014215065,-0.00013691091,-0.0001757482
toggle_nab_tzmbl_aucmb_afrims,-0.00045817267,-0.00033736433,6.2185856e-05,-0.0005536858,-6.453418e-05,-0.00022487876,-0.0007960904,-0.0003161989,0.00034123502,-0.00014993746,-0.000138415,-0.00042862873,-0.00087862124,-0.00022559335,-0.00022308924,0.0005713143,-0.00030245853,0.00046404355,-0.000530619,0.00048354606,-7.888822e-05,-8.660586e-05,0.0005136348,-0.00035679198,0.0001562809,0.00018701408,0.00037564966,-0.0006177157,-0.00037490824,-2.5152005e-05,0.0005263925,-8.5147054e-05
toggle_nab_tzmbl_a3r5_montefiori,0.00059476565,0.000120762386,0.0002568327,-0.00019457556,4.558669e-06,9.641438e-05,0.00012049961,-0.00017726704,-0.00016359455,0.000109300134,0.0001330798,0.00047855722,0.00030515328,-3.362427e-05,2.1681244e-05,-0.00043167584,0.0002632066,-0.00038060607,0.00016889932,-0.00029386394,0.00027723183,0.000116802534,-0.00061490183,0.0003703125,-0.0003604017,-0.00018388986,-5.9483227e-05,0.00062042754,0.00045755107,-0.00035831248,-4.0771527e-05,-6.870448e-06
toggle_v2_cyclic_peptide_42aa,-0.00019119077,-0.00018076928,-0.00012447784,-5.1869258e-05,8.803949e-05,8.512853e-06,-0.0005092365,0.00024691175,0.00040815797,0.00011501305,0.00012843392,-0.0004260772,-0.0007078071,9.7494165e-05,-0.00012507438,0.00043611464,-0.0001677629,0.000327047,-0.00018245754,0.00038096213,-7.967276e-05,-0.00017147251,0.00020079406,-0.0003525611,0.00022791367,-0.00018001055,0.00023344585,-0.00026863383,-0.00038881006,0.00040456184,-0.00011659674,-0.00011128328
secondary_gt_iga_main_breadth,-0.0001612625,-0.000261486,8.961001e-05,0.00034486008,-0.00020739512,0.00015423178,0.00046901012,-0.00015626245,-9.780271e-05,0.00012304424,-0.00038795196,7.5975245e-06,-7.609874e-05,-0.00034217205,-4.4332766e-05,4.0409992e-05,-1.8525318e-05,-0.00033133436,-0.00036490598,0.00017791,0.00018682265,-3.7746922e-05,0.00024455404,-0.00013187376,-9.849105e-05,-0.00033888762,4.2018306e-05,-0.00013875276,6.4362845e-05,-0.00016145955,-0.00032392476,-0.00030688732
secondary_gt_iga_gD,5.735724e-05,0.00010979299,-0.0001243212,0.0002987155,0.00013539068,0.0001420311,0.0002283267,0.00024427325,-2.7946826e-05,0.0004795353,6.5468106e-05,0.00019886185,-0.00013442268,0.0004909567,0.00024606736,-0.00017129017,-0.00010774941,0.00016966177,0.00022694172,-0.00021572656,0.00040676017,-0.00021950174,-0.00026277997,-0.00027508743,7.061646e-05,-0.00032819703,9.412633e-05,2.1727083e-05,0.00011365588,0.00020402741,-0.0003923433,3.8113608e-06
secondary_gt_iga_a244_gdneg_d11,0.000112854126,6.18101e-05,0.00019707956,0.00037467194,0.0001327882,0.0002650259,0.00027471798,-0.00014102348,-0.0003426039,-7.47523e-05,-0.00016813938,0.00041856559,0.00033587616,0.00042174,-2.1280412e-05,-0.00020667554,-0.00014739945,2.736193e-05,-6.8636575e-05,-0.00037602827,0.0003439362,-0.00029955592,-0.00010592052,0.00023324712,-0.0003350851,-0.0005401724,1.7324115e-06,0.0004027971,0.00052849855,-0.00017904081,-0.0006373761,-0.00023282027
secondary_gt_iga_a244_gdpos_293t,-0.0001390206,-0.0001220155,-0.00021849845,0.00026863356,-0.000116820105,0.00021890156,0.0003400726,-5.8757803e-05,-0.00015092768,0.00055018184,-0.00020919526,0.00030212436,1.9357103e-06,-0.0004215239,-0.00036868596,-0.0003273041,2.8593257e-05,0.0003123435,0.0001454421,3.6846304e-05,0.0004725728,-0.000107616754,0.00031847667,-0.00032947928,-0.00035937584,-0.00030681447,0.00017643362,-8.145842e-05,0.00014474838,9.214427e-05,0.0005267393,-0.00018119828
secondary_gt_iga_a244_gdpos_chogsid,0.0001086764,0.00021733981,-8.962713e-05,0.00013332014,0.000105880084,6.91974e-05,0.00037069598,-0.00017996518,-0.00045074386,0.0002005595,3.841635e-05,0.00027481568,4.047011e-05,0.0002269636,-7.713828e-05,-0.00014929108,-0.00017136818,0.000232454,2.2154885e-07,-0.0003343837,0.0004446599,-0.00013560127,1.7820914e-05,8.250562e-05,-0.00020588635,-0.00044593125,0.00022208715,0.00029718972,0.00033881018,5.2633877e-05,-0.0001281292,-0.00010098725
secondary_gt_iga_92TH023_gdpos_293t,0.00031992598,0.00020621618,-0.00012097663,0.00015237623,0.00013907456,7.8982666e-05,0.00036308996,-0.000102111386,-2.4546976e-05,0.00062341004,-9.7178636e-05,0.00028909754,-0.00013821684,-0.0002879927,5.6444547e-05,-0.00027233592,5.4977463e-05,0.00035933618,2.1889167e-05,-0.00027149517,0.0005013679,-0.00014088134,8.502269e-06,7.87615e-06,-0.00019189686,-0.0006538448,0.00018971376,0.00050465745,0.0003404796,0.0001502418,-8.715472e-05,-1.9117104e-05
secondary_gt_iga_92TH023_gdpos_chogsid,0.0004042063,3.5571928e-05,-4.0071634e-05,7.462344e-05,0.00017915176,0.0001691105,0.00031908904,-0.00024618852,-0.00055761763,0.00044785376,-0.00026867565,0.00041134076,0.00053397403,0.00024878353,8.501629e-05,-0.0002881693,-0.00019158957,0.00028605192,7.625532e-05,-0.0005740231,0.0005521717,-9.320061e-05,-0.00037658899,0.0001920519,-0.00030769073,-0.00015190442,-0.000311683,0.00039300686,0.0005865547,-0.00040253517,-7.268027e-05,-0.00045474927
secondary_gt_iga_gne8,-1.7601902e-05,-9.196721e-05,-3.7538717e-05,-0.000109868626,2.6516249e-05,0.00016162185,0.00049239385,-1.0444005e-05,-0.00010727592,0.00019306704,-1.15545945e-05,0.0002339687,0.00035471568,0.0005571319,0.00033910913,-7.169368e-05,-0.00022690163,0.00022893802,0.0001877252,-0.00031075618,4.933623e-05,1.4144152e-05,-0.00045718477,-0.00011190406,0.0002930128,-0.000111238645,0.00010020563,9.992316e-06,0.00028726054,-8.19232e-05,-0.00032290444,-7.9514306e-05
secondary_gt_iga_Bconenv03140CF,0.00019873984,0.00013732162,-6.2650244e-05,-0.00015204542,1.64315e-05,-0.00013689112,0.0001371824,-6.310558e-05,-9.855687e-05,4.7301593e-05,-0.0002778208,0.00012750516,-4.6338133e-05,-0.000557693,-3.3782413e-05,-0.00022448669,0.00012691185,0.000101000354,-0.00013686059,2.8413615e-05,0.00026398432,-5.126286e-06,0.0002903699,0.00020872836,-0.0002105217,-0.00039634388,0.000117078256,0.0002546634,0.00027475716,-0.00014416582,0.00037044825,-1.1090343e-05
secondary_gt_iga_Cconenv03140CF,-2.7658234e-05,-0.00029072046,0.00023325822,0.00040033448,-0.00012243635,0.00027674492,0.0003161866,-7.697891e-05,-0.00010311156,7.2332565e-05,-0.00016925746,0.00027098393,0.00048501536,4.1055846e-05,-4.0275856e-05,-0.00017403855,0.00012320706,-0.0003043844,-1.3548202e-05,-0.00012538103,3.2336613e-06,3.4125045e-05,-0.00015297902,1.2203913e-05,-2.017821e-05,-0.0001063331,-0.00012516721,0.00012585465,0.00021342578,-0.00026462227,-0.0005006457,-6.264017e-05
secondary_gt_iga_Con6gp120B,-9.510942e-05,-5.548443e-05,0.0001919224,0.00039144396,5.098044e-06,0.0005056521,2.300141e-05,-0.00013401586,-0.00024471988,-0.00013421148,-3.3393757e-05,0.0003275607,0.0005290895,0.00056995463,-0.00014175763,-0.0001573128,-3.9866918e-05,0.00015481396,-0.00018662852,-0.00033402874,0.00019104002,-0.00019320285,-0.00020821438,3.380311e-05,-7.9112295e-05,-0.00021246853,0.0001791202,0.00021626569,0.00027713279,7.3897674e-05,-0.0007324856,-0.00034486115
secondary_gt_iga_ConSgp140CFI,-9.069995e-05,-0.0002803453,0.00010676949,0.00028413828,2.7343933e-05,0.00016909497,0.00019052227,-0.0001266527,0.00018210225,-7.797939e-05,-0.0004446349,0.00020758978,0.00039597112,-0.00030454347,-7.023663e-06,-9.24788e-05,0.00013194063,-0.00012527173,-0.00019639893,0.00012768377,-7.1867834e-07,-0.00010220526,0.0002801873,-0.00012317834,-3.6229478e-05,-0.00016063626,-0.0001880667,-3.0621744e-05,9.23369e-05,-0.00039669787,-0.00034169105,-0.00017220319
secondary_gt_igg_main,0.00038435188,0.0002009349,0.00011704762,-9.9857025e-05,0.0002968648,-0.00011577374,-4.8631955e-05,3.7479906e-05,-0.00010461753,0.00018651884,-0.0001680349,0.0002014901,3.3093707e-05,-0.00014117504,-0.00012817612,-0.0001613555,7.173971e-05,-1.1269363e-05,0.00024993473,-0.00021866604,8.600659e-05,8.428577e-05,-0.00015592614,0.00028864204,-0.00029944937,-0.00017023762,-0.00019842674,0.00011578087,0.00024924864,-9.4801224e-05,0.00019221978,-0.00029439208
secondary_gt_igg_toggle,0.00056311715,0.0001628316,8.333556e-05,0.00017535975,0.00029424927,-2.6275728e-05,-0.00035505072,0.00012455342,-0.00014900607,0.00023859598,-0.0004442558,-0.00020148406,-6.354654e-05,-5.9683203e-05,0.00012237336,0.0002149312,-0.00059722346,-0.00011182019,-4.0470473e-05,-0.000332094,0.0003896969,5.313315e-05,0.00013566451,-0.00014470567,-4.2837753e-05,0.0001610286,-0.00028382236,-1.0107521e-05,0.00019416209,-0.00014712565,-0.0004255556,-0.0004043354
secondary_gt_igg_main_breadth,-8.7610046e-05,-0.00015814147,-0.00028843025,3.9767176e-05,-0.00013170025,-4.585812e-05,-0.00020377597,0.00024129014,8.36344e-05,5.3530148e-05,-0.00014909028,-0.00023526905,-0.00020471384,-0.00013408887,-7.474486e-05,0.000112582806,9.045471e-05,0.0002423305,0.00037382697,7.26486e-05,-0.00013415042,-0.00018969706,0.00044223288,-6.7060646e-06,-1.9600897e-05,-7.170845e-05,2.6781754e-05,-7.703123e-05,5.4240794e-05,3.724839e-05,0.0004141653,0.000121033445
secondary_gt_igg_main_vac,0.00012319114,0.00027687164,-0.00018001,0.00021425208,0.00030049332,-0.000111436544,-0.00059140497,-0.00016933873,-6.307245e-05,-5.413575e-05,-0.00015490492,-0.00038050328,-0.00050698593,0.00033746214,0.0002839787,0.00033923157,-0.0005748778,9.307511e-06,-8.9888956e-05,-8.025768e-05,0.00029584864,-4.7526948e-05,0.00015506119,-0.0002000132,-0.00010851691,0.0004821392,-0.00046514993,-0.00030892325,-0.00022286331,-0.00025753782,-0.00065944693,-0.00054396834
secondary_gt_igg_k178,0.0007125114,0.00036181358,-0.00052290014,2.9455368e-05,0.00050517445,-5.9956088e-05,-0.0004935057,6.594995e-05,2.731737e-05,0.0006285564,0.00010607061,-0.0002054855,-0.00066100777,0.00040996543,1.5677269e-07,0.00019802271,-0.0002821147,0.00020629389,0.00017364621,6.682551e-05,0.0005893426,-0.00025161504,0.00024200669,5.4535845e-05,-0.00020097232,-2.222957e-05,-0.00033759308,0.00043552174,2.4274399e-05,3.2831256e-06,-0.00018253269,-0.0005149318
secondary_gt_igg_gD,0.000105917345,0.0006719469,-0.00057395466,-0.00048744242,0.0005969593,-0.0006303072,0.00020971737,-0.0003945608,-0.0004926158,0.000566321,-0.0005210908,0.00034670226,-0.0006132213,-0.00019223857,0.00072905055,-1.2274937e-06,-0.0006050993,0.001207098,0.000264573,-0.0005113278,0.00083780487,-0.00016214864,0.0005993352,-8.2542836e-05,-0.00030472426,-0.00039917533,-0.00014478361,0.00024834886,0.0001709182,-0.0001830522,0.00089272705,-3.6323872e-05
secondary_gt_igg_c1biotin,0.000434384,0.00046757772,-0.00015571568,4.4082793e-05,0.0004582387,-0.0004670357,-0.00045427022,-6.145009e-05,0.00011104674,0.0003436399,0.0002620478,-9.876644e-05,-0.00025597683,-0.0007207501,0.0001472028,-1.3951544e-05,5.3588235e-05,7.055484e-05,0.0005119017,-0.0002763976,0.00030850648,4.0018367e-05,8.982563e-05,0.00019921982,-0.00042863912,4.7827984e-05,-0.0002826807,0.00024931596,8.008333e-05,1.4853238e-05,0.000120189085,-0.00015103973
secondary_gt_igg_244_gdneg,0.00039038822,0.0004330116,-0.00060067815,-9.907982e-05,0.00019477187,0.00022986707,-0.0011000511,-0.00035614867,1.3825355e-05,0.0005005034,0.0005043772,0.0003537363,-0.00043844956,0.0007144827,-0.00018052013,-0.00013126213,0.00027389996,0.00072044955,0.00018563558,-9.7353615e-05,0.0007036236,-0.00040251372,3.4275654e-05,0.00016887834,-0.00041689782,-0.00015009003,0.00014279965,0.00096076773,0.0003563553,0.00013997222,0.00020969434,-0.00010687572
secondary_gt_igg_a244_gdneg_d11,0.00063111424,0.0007177674,-0.00011489846,3.3129738e-05,0.00058219105,0.00013175358,-0.00029858312,-1.3096461e-06,-0.0007187773,6.166886e-05,8.0967526e-05,7.806913e-05,0.00012513752,0.0005170489,-5.4460554e-05,3.223533e-05,-0.0006437098,0.00041362183,-1.1876849e-05,-0.0006133282,0.0007887183,-0.00010722994,0.00013204267,0.0001987604,-0.00020161139,-5.042268e-05,-0.00036993824,0.00040343092,0.0004794387,-0.00010552129,-0.00014308466,-0.00042453644
secondary_gt_igg_a244_gdpos_293t,-0.00044256207,-0.0003713401,-0.00062354485,-0.00022232342,-0.0003315668,-6.626117e-05,-0.00020506592,-0.00044372468,0.0006152515,0.00075724727,-0.0004051981,-6.991624e-05,-0.0009520667,0.00041707687,0.00077953853,0.00034400285,-4.2919005e-06,0.00073205243,0.00033161705,0.000409715,-5.2832555e-05,-7.7818586e-05,0.00015237999,-0.0008286138,0.0005915246,0.0001757152,0.00020154339,-0.00053475995,-0.0004189011,-8.308505e-05,0.00034582117,-3.896696e-05
secondary_gt_igg_a244_gdpos_chogsid,0.00016925753,0.0004389544,-0.00047778725,-6.206079e-05,9.536556e-05,-0.00011106157,-0.00037046068,-0.00025027123,-3.309378e-05,0.00039415012,-0.00029112888,-6.695502e-05,-0.0014395039,0.0008052097,0.0004405018,0.00028641027,-0.00041214025,0.00093865715,-0.00021214255,-1.1234563e-05,0.00066452817,-0.00035302894,4.3070053e-05,-8.567634e-05,-1.4855414e-05,-0.00086759555,0.00051595375,0.00015842202,5.2379014e-06,0.00035472796,-0.0002635029,-0.00055855373
secondary_gt_igg_92TH023_gdneg,7.325597e-05,0.00028763522,-0.0006468402,0.0002454366,0.0001642684,-0.00021099317,-0.0005178499,0.00042320238,-0.00017073037,0.0002688295,0.00068031676,-0.00027075806,-5.761853e-05,0.0003715947,-0.00021461482,9.945788e-05,-0.00012047111,0.00034408554,0.000581448,-0.00013826968,0.00017968517,-0.00022073822,0.00038475858,-0.00016672704,-0.000116003066,0.00024119476,-0.00015252414,9.181242e-05,6.89114e-05,0.00021848748,0.00018286408,0.00023021524
secondary_gt_igg_92TH023_gdpos_293t,0.00033747748,0.0004693272,-0.0003790599,-0.00025548553,0.0002810554,-0.00015753448,8.795561e-06,-0.0004946564,-0.00023923421,0.00037930044,-0.0006635077,0.00020787095,-0.0012739275,0.0006544117,0.0007739994,0.0002052903,-0.0006139618,0.0008199176,-0.00012278951,-0.00030599802,0.0007991889,-0.00027294076,0.00022333104,-3.4229805e-07,1.5279536e-05,-0.00083535106,0.00027621284,0.00023307011,0.00025699296,-0.000103642786,-4.9367507e-05,-0.00044752876
secondary_gt_igg_92TH023_gdpos_chogsid,0.00069749076,0.0010280267,-0.00029685642,-0.00017178539,0.0007037927,-0.0005594137,-0.00017788014,-0.00056611554,-0.0006831718,0.00021991468,-0.00055303384,0.0005865674,-0.00034487326,0.00023625887,0.00048806923,-0.00022245165,-0.0003092867,0.0012756865,-0.00013563564,-0.00045551916,0.0012624796,-0.00025180378,0.00016048312,0.00023424032,-0.0002644771,-0.00090829603,9.608635e-05,0.0005995507,0.00068391964,-0.0006842781,0.0003887416,-4.4973196e-05
secondary_gt_igg_gne8,4.139424e-05,0.0005187804,-0.0007610753,-0.00013406924,0.00052596926,-0.00041575148,-0.0001917209,0.00018386221,-0.00026020833,0.00040905693,-0.00026336397,0.00012935893,-0.0005720907,3.747338e-05,0.0004880953,-2.4801082e-05,-0.00018211304,0.0010214355,0.00044129076,-0.0002478795,0.0006666418,-0.00020003764,0.00033414195,-0.00012235162,-0.00019112416,-0.0006211755,-4.4887342e-06,0.00023070136,0.00018255525,7.581315e-05,0.00066572696,0.00016877873
secondary_gt_igg_00MSA4076gp140,0.00036272872,0.00035324148,0.00017641748,-6.1031584e-05,0.0001018744,0.00017392538,0.0003568986,-0.0001606701,-0.00013612091,8.450508e-05,-8.719967e-05,0.0002432041,9.2050825e-05,4.2697327e-05,0.00010184623,-0.000117756004,-1.4694057e-05,-4.31143e-05,-0.00019917951,-0.00025589962,0.00020590439,1.801366e-05,-0.0001959903,0.0002872237,-7.182662e-05,-0.00018338127,-9.028934e-05,0.00038650495,0.0002902074,1.3438737e-05,-0.00017373201,-0.00013838802
secondary_gt_igg_97CNGX2F140CF,0.00064946996,0.00091299653,7.9355905e-06,0.0003009076,0.00056625536,-0.00014350124,-0.00050310534,0.00031051936,-0.0002200085,-0.00011470346,0.0006123182,-8.9577516e-05,6.881348e-05,7.3874326e-05,-0.0001502497,-7.7741024e-05,-7.4756346e-05,-0.00024640613,0.00015726118,-0.00035900093,0.00055019866,-7.207341e-05,-0.00038801666,0.00030682047,-0.00039957443,-3.9420156e-05,-3.4949397e-05,0.00054390036,0.00040266116,0.00042580697,-0.000548827,-0.0002050381
secondary_gt_igg_A1conenv03140CF,0.00017676444,1.7381419e-05,0.00014091081,-5.980171e-05,-5.050177e-05,0.00018616708,0.00012407282,-0.00016493868,0.00014808842,9.400558e-05,-8.8450826e-05,0.00031465638,-1.9291361e-05,-0.00029592213,-9.973679e-05,-0.0001438303,0.00018509658,4.9158174e-05,-0.00017320336,-8.967144e-05,0.0001253524,-7.604622e-05,8.0162084e-05,0.00024271429,-0.00018187758,-0.00030735985,-1.5681222e-05,0.00026700355,0.00010333058,5.7130386e-05,3.0192528e-05,-0.00010077019
secondary_gt_igg_Bconenv03140CF,0.00019003489,0.00026548523,1.6799215e-05,-9.698398e-05,0.00021397449,-0.0003446827,-0.00028440452,-0.00029172425,-0.00021211416,0.00033938044,-0.00015317934,-0.00041474725,-0.00016101661,-0.0002862587,0.00022439692,0.00030632198,-0.00069952436,7.0259724e-05,0.00014502471,-0.0002402383,0.00026225002,-3.477831e-05,0.00048738968,-0.000123055,0.00015812156,0.0006836497,-0.00034441138,-0.00018757037,3.0889638e-05,-0.00018442217,6.133972e-05,-0.00014222626
secondary_gt_igg_Cconenv03140CF,0.00023674572,0.00070616126,-0.00016390697,-0.0003114293,0.0005112591,-0.00019610285,-0.00044361004,-0.00024004633,-0.00026713056,6.947999e-05,-0.00012445234,9.864766e-05,-0.00026739002,0.00018887238,0.00014450439,-3.827487e-05,-0.0003043857,0.00040315904,6.842443e-05,-0.00029085716,0.00053248985,-7.588503e-05,4.818145e-05,0.00020325133,-0.00024809295,-0.000121631245,5.986385e-05,0.00034616515,0.00041509597,-2.1993153e-05,0.0004225947,-0.0001419945
secondary_gt_igg_Con6gp120B,0.00013384048,0.00028243638,-9.435146e-05,7.4493015e-05,0.00059871504,-0.00018711851,-7.86605e-05,0.00025267963,-0.00016278708,9.206824e-05,-0.0003434234,-0.0005102534,-0.0004527436,-0.0006521384,-0.00023072124,0.00049685565,-0.0006447782,-0.00023215327,-0.00019084151,7.332055e-05,0.00031210555,-0.00027830695,0.0010085047,9.622724e-06,-0.00037449657,0.00015257533,-0.00041787524,-0.0002722644,-6.8710346e-05,0.0004361136,0.00037019912,-0.0005066983
secondary_gt_igg_ConSgp140CFI,0.00014603978,0.00047671268,-8.480214e-05,-3.572456e-05,0.00045848152,-0.00035811044,-0.00046080712,0.00010776894,-0.0002974963,-0.00011348614,0.00010836569,-8.414458e-05,1.8323808e-05,-0.0003355743,7.95927e-05,-4.1180414e-05,-7.8880556e-05,2.6576085e-05,0.0002511597,-4.6608824e-05,0.00036903846,0.0001372915,-0.00035252763,-0.00011213448,-5.3600015e-05,0.00019159375,-0.0001446041,-2.1049585e-05,0.00019947636,-7.540993e-05,0.00038390452,-8.927968e-05
secondary_gt_igg_Gconenv03140CF,0.0003018228,0.00061819085,-0.00031923834,-0.00015504505,0.00017413202,-0.00033237113,-0.00015798816,0.00018319022,-0.00017011202,7.3757976e-05,0.00038187442,0.00033414186,0.00023335741,-0.00018662198,-2.103287e-05,-0.000386242,0.00021519135,0.00040683613,0.0005072114,-0.00030991735,0.00048455913,-0.0001146822,-3.2597636e-05,0.00024203518,-0.00040013847,-0.00031814977,0.00011781451,0.0005513743,0.0006322557,0.00015649316,0.00064333115,0.0003574973
secondary_gt_igg_HV13700AEconenv03140CF,0.00014837927,0.000249942,-0.00048857904,-0.00014507209,3.216179e-07,1.5846726e-05,-0.00021011636,-0.0002805694,-0.00028898858,0.00015095637,0.0007535803,2.2593023e-05,5.9896378e-05,0.0009816306,7.729592e-05,0.00021840802,-9.45657e-05,0.00036335853,0.00023346234,-0.00017277928,0.00018203816,-0.0003340035,-0.00011735299,4.597647e-05,0.00023785091,0.00032773954,-8.391708e-05,0.00043916886,0.00029433018,-0.00010179484,9.023066e-05,0.00013459798
secondary_gt_igg_HV14000DRCBLgp140,5.766588e-05,-4.7077265e-05,7.161789e-05,-0.00013599783,2.5628406e-05,-2.0550002e-05,2.382356e-05,2.6588516e-05,0.00029007613,0.0003007235,0.00019181253,-0.00015644846,-0.00024138822,-0.00028369325,-1.5991493e-05,0.00016616944,9.312293e-05,-0.00023105052,1.8573426e-05,6.147796e-05,-3.1647287e-05,1.4742679e-05,-0.00014376336,8.26212e-06,-6.8807065e-05,7.943872e-05,-2.172056e-06,-0.00012508663,-4.4328233e-05,0.00028598754,4.4884382e-05,-0.0002523072
