bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b15,,,"","",24 h,24,h,HT29,CMAP-000,10,0.14,488,0.264304,13.7143,"0.17,0.05,0.14,0.14,0.06,0.09,0.11,0.12,0.09,0.02",34.8571,32.1429,0.0431971,0.39586,23.55,85.4436,0,1,CMAP-000,ABY001_HT29_XH:CMAP-000:-666:24,ctl_untrt,HT29,H20|H24|J13|J17|J18|J20|J21|J22|J23|J24,ABY001_HT29_XH_X1_B15,ABY001_HT29_XH_X1_B15:H20|ABY001_HT29_XH_X1_B15:H24|ABY001_HT29_XH_X1_B15:J13|ABY001_HT29_XH_X1_B15:J17|ABY001_HT29_XH_X1_B15:J18|ABY001_HT29_XH_X1_B15:J20|ABY001_HT29_XH_X1_B15:J21|ABY001_HT29_XH_X1_B15:J22|ABY001_HT29_XH_X1_B15:J23|ABY001_HT29_XH_X1_B15:J24,,ABY,UnTrt,0,0,0,1,357,UnTrt__24 h_HT29,2,UnTrt__24 h
b15,,,"","",3 h,3,h,HT29,CMAP-000,13,0.16,236,0.196493,8.28571,"0.05,0.10,0.09,0.13,0.08,0.11,0.03,0.06,0.02,0.05,0.10,0.08,0.10",28.8571,37.2857,0.0599268,0.318938,23.55,85.4436,0,1,CMAP-000,ABY001_HT29_XH:CMAP-000:-666:3,ctl_untrt,HT29,B03|B04|B05|B06|B07|B08|B09|B10|B11|B12|P04|P08|P12,ABY001_HT29_XH_X1_B15,ABY001_HT29_XH_X1_B15:B03|ABY001_HT29_XH_X1_B15:B04|ABY001_HT29_XH_X1_B15:B05|ABY001_HT29_XH_X1_B15:B06|ABY001_HT29_XH_X1_B15:B07|ABY001_HT29_XH_X1_B15:B08|ABY001_HT29_XH_X1_B15:B09|ABY001_HT29_XH_X1_B15:B10|ABY001_HT29_XH_X1_B15:B11|ABY001_HT29_XH_X1_B15:B12|ABY001_HT29_XH_X1_B15:P04|ABY001_HT29_XH_X1_B15:P08|ABY001_HT29_XH_X1_B15:P12,,ABY,UnTrt,0,0,0,1,357,UnTrt__3 h_HT29,1,UnTrt__3 h
f1b6,,,"","",96 h,96,h,HT29,CMAP-000,3,0.4685,154,0.27161,3.74104,"0.11,0.44,0.45",27.0626,25.9978,0.0857462,0.35818,20.12,79.845,0,1,CMAP-000,DER001_HT29_96H:N12,ctl_untrt,HT29,N12,DER001_HT29_96H_X1_F1B6_DUO52HI53LO|DER001_HT29_96H_X2_F1B6_DUO52HI53LO|DER001_HT29_96H_X3_F1B6_DUO52HI53LO,DER001_HT29_96H_X1_F1B6_DUO52HI53LO:N12|DER001_HT29_96H_X2_F1B6_DUO52HI53LO:N12|DER001_HT29_96H_X3_F1B6_DUO52HI53LO:N12,,DER,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b14,,,"","",96 h,96,h,HT29,CMAP-000,16,0.216,327,0.268739,3.58593,"0.03,0.03,0.07,0.02,0.06,0.06,0.09,0.07,0.05,0.04,0.07,0.07,0.07,0.08,0.08,0.10",12.1481,21.0811,0.132123,0.329972,21.78,83.118,0,1,CMAP-000,TA.KD008_HT29_96H:CMAP-000:4,ctl_untrt,HT29,B12|B17|C06|E17|J21|L24|M11|N20,TA.KD008_HT29_96H_X1_B14|TA.KD008_HT29_96H_X3_B14,TA.KD008_HT29_96H_X1_B14:B12|TA.KD008_HT29_96H_X1_B14:B17|TA.KD008_HT29_96H_X1_B14:C06|TA.KD008_HT29_96H_X1_B14:E17|TA.KD008_HT29_96H_X1_B14:J21|TA.KD008_HT29_96H_X1_B14:L24|TA.KD008_HT29_96H_X1_B14:M11|TA.KD008_HT29_96H_X1_B14:N20|TA.KD008_HT29_96H_X3_B14:B12|TA.KD008_HT29_96H_X3_B14:B17|TA.KD008_HT29_96H_X3_B14:C06|TA.KD008_HT29_96H_X3_B14:E17|TA.KD008_HT29_96H_X3_B14:J21|TA.KD008_HT29_96H_X3_B14:L24|TA.KD008_HT29_96H_X3_B14:M11|TA.KD008_HT29_96H_X3_B14:N20,,TA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b14,,,"","",96 h,96,h,HT29,CMAP-000,20,0.32,376,0.350751,0.715564,"0.06,0.03,0.06,0.06,0.05,0.05,0.06,0.03,0.04,0.05,0.05,0.05,0.05,0.04,0.06,0.06,0.02,0.06,0.06,0.05",3.2269,6.9897,0.275104,0.42327,21.39,82.4576,1,1,CMAP-000,TA.KD007_HT29_96H:CMAP-000:4,ctl_untrt,HT29,D21|G18|I13|M09|O22|P21|P22,TA.KD007_HT29_96H_X1_B14|TA.KD007_HT29_96H_X2_B14|TA.KD007_HT29_96H_X3_B16,TA.KD007_HT29_96H_X1_B14:D21|TA.KD007_HT29_96H_X1_B14:G18|TA.KD007_HT29_96H_X1_B14:I13|TA.KD007_HT29_96H_X1_B14:M09|TA.KD007_HT29_96H_X1_B14:O22|TA.KD007_HT29_96H_X1_B14:P21|TA.KD007_HT29_96H_X1_B14:P22|TA.KD007_HT29_96H_X2_B14:D21|TA.KD007_HT29_96H_X2_B14:G18|TA.KD007_HT29_96H_X2_B14:I13|TA.KD007_HT29_96H_X2_B14:M09|TA.KD007_HT29_96H_X2_B14:O22|TA.KD007_HT29_96H_X2_B14:P21|TA.KD007_HT29_96H_X2_B14:P22|TA.KD007_HT29_96H_X3_B16:D21|TA.KD007_HT29_96H_X3_B16:G18|TA.KD007_HT29_96H_X3_B16:I13|TA.KD007_HT29_96H_X3_B16:M09|TA.KD007_HT29_96H_X3_B16:O22|TA.KD007_HT29_96H_X3_B16:P21,,TA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b3,,,"","",96 h,96,h,HT29,CMAP-000,60,0.1,790,0.284213,12.0186,"""""""""""""""""""""""""""""""""",39.9867,42.2357,0.0206457,0.140612,17.57,73.4424,0,1,CMAP-000,KDA002_HT29_96H:TRCN0000000000:-666,ctl_untrt,HT29,C12|E14|I21|J18|N07|N09|N14|O03|O21|O22|O23|O24|P12|P21|P23|P22|P24,KDA002_HT29_96H_X1_B3_DUO52HI53LO|KDA002_HT29_96H_X2_B3_DUO52HI53LO|KDA002_HT29_96H_X3_B3_DUO52HI53LO|KDA002_HT29_96H_X4_B5_DUO52HI53LO,KDA002_HT29_96H_X1_B3_DUO52HI53LO:C12|KDA002_HT29_96H_X1_B3_DUO52HI53LO:E14|KDA002_HT29_96H_X1_B3_DUO52HI53LO:I21|KDA002_HT29_96H_X1_B3_DUO52HI53LO:J18|KDA002_HT29_96H_X1_B3_DUO52HI53LO:N07|KDA002_HT29_96H_X1_B3_DUO52HI53LO:N09|KDA002_HT29_96H_X1_B3_DUO52HI53LO:N14|KDA002_HT29_96H_X1_B3_DUO52HI53LO:O03|KDA002_HT29_96H_X1_B3_DUO52HI53LO:O21|KDA002_HT29_96H_X1_B3_DUO52HI53LO:O22|KDA002_HT29_96H_X1_B3_DUO52HI53LO:O23|KDA002_HT29_96H_X1_B3_DUO52HI53LO:O24|KDA002_HT29_96H_X1_B3_DUO52HI53LO:P12|KDA002_HT29_96H_X1_B3_DUO52HI53LO:P21|KDA002_HT29_96H_X1_B3_DUO52HI53LO:P23|KDA002_HT29_96H_X2_B3_DUO52HI53LO:C12|KDA002_HT29_96H_X2_B3_DUO52HI53LO:E14|KDA002_HT29_96H_X2_B3_DUO52HI53LO:I21|KDA002_HT29_96H_X2_B3_DUO52HI53LO:J18|KDA002_HT29_96H_X2_B3_DUO52HI53LO:N07|KDA002_HT29_96H_X2_B3_DUO52HI53LO:N09|KDA002_HT29_96H_X2_B3_DUO52HI53LO:N14|KDA002_HT29_96H_X2_B3_DUO52HI53LO:O03|KDA002_HT29_96H_X2_B3_DUO52HI53LO:O21|KDA002_HT29_96H_X2_B3_DUO52HI53LO:O22|KDA002_HT29_96H_X2_B3_DUO52HI53LO:O23|KDA002_HT29_96H_X2_B3_DUO52HI53LO:O24|KDA002_HT29_96H_X2_B3_DUO52HI53LO:P12|KDA002_HT29_96H_X3_B3_DUO52HI53LO:C12|KDA002_HT29_96H_X3_B3_DUO52HI53LO:E14|KDA002_HT29_96H_X3_B3_DUO52HI53LO:I21|KDA002_HT29_96H_X3_B3_DUO52HI53LO:J18|KDA002_HT29_96H_X3_B3_DUO52HI53LO:N07|KDA002_HT29_96H_X3_B3_DUO52HI53LO:N09|KDA002_HT29_96H_X3_B3_DUO52HI53LO:N14|KDA002_HT29_96H_X3_B3_DUO52HI53LO:O03|KDA002_HT29_96H_X3_B3_DUO52HI53LO:O21|KDA002_HT29_96H_X3_B3_DUO52HI53LO:O22|KDA002_HT29_96H_X3_B3_DUO52HI53LO:O23|KDA002_HT29_96H_X3_B3_DUO52HI53LO:O24|KDA002_HT29_96H_X3_B3_DUO52HI53LO:P12|KDA002_HT29_96H_X3_B3_DUO52HI53LO:P21|KDA002_HT29_96H_X3_B3_DUO52HI53LO:P23|KDA002_HT29_96H_X4_B5_DUO52HI53LO:C12|KDA002_HT29_96H_X4_B5_DUO52HI53LO:E14|KDA002_HT29_96H_X4_B5_DUO52HI53LO:I21|KDA002_HT29_96H_X4_B5_DUO52HI53LO:J18|KDA002_HT29_96H_X4_B5_DUO52HI53LO:N07|KDA002_HT29_96H_X4_B5_DUO52HI53LO:N09|KDA002_HT29_96H_X4_B5_DUO52HI53LO:N14|KDA002_HT29_96H_X4_B5_DUO52HI53LO:O03|KDA002_HT29_96H_X4_B5_DUO52HI53LO:O21|KDA002_HT29_96H_X4_B5_DUO52HI53LO:O22|KDA002_HT29_96H_X4_B5_DUO52HI53LO:O23|KDA002_HT29_96H_X4_B5_DUO52HI53LO:O24|KDA002_HT29_96H_X4_B5_DUO52HI53LO:P12|KDA002_HT29_96H_X4_B5_DUO52HI53LO:P21|KDA002_HT29_96H_X4_B5_DUO52HI53LO:P22|KDA002_HT29_96H_X4_B5_DUO52HI53LO:P23|KDA002_HT29_96H_X4_B5_DUO52HI53LO:P24,,KDA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b3,,,"","",96 h,96,h,HT29,CMAP-000,62,0.14,730,0.323263,11.2817,"""""""""""""""""""""""""""""""""",40.8762,41.2979,0.0240183,0.176268,0,0,0,1,CMAP-000,KDA003_HT29_96H:TRCN0000000000:-666,ctl_untrt,HT29,A12|D23|E11|E21|F09|F18|F22|G01|O16|O21|O22|O23|O24|P21|P23|P22|P24,KDA003_HT29_96H_X1_B3_DUO52HI53LO|KDA003_HT29_96H_X2_B3_DUO52HI53LO|KDA003_HT29_96H_X3_B3_DUO52HI53LO|KDA003_HT29_96H_X4_B5_DUO52HI53LO,KDA003_HT29_96H_X1_B3_DUO52HI53LO:A12|KDA003_HT29_96H_X1_B3_DUO52HI53LO:D23|KDA003_HT29_96H_X1_B3_DUO52HI53LO:E11|KDA003_HT29_96H_X1_B3_DUO52HI53LO:E21|KDA003_HT29_96H_X1_B3_DUO52HI53LO:F09|KDA003_HT29_96H_X1_B3_DUO52HI53LO:F18|KDA003_HT29_96H_X1_B3_DUO52HI53LO:F22|KDA003_HT29_96H_X1_B3_DUO52HI53LO:G01|KDA003_HT29_96H_X1_B3_DUO52HI53LO:O16|KDA003_HT29_96H_X1_B3_DUO52HI53LO:O21|KDA003_HT29_96H_X1_B3_DUO52HI53LO:O22|KDA003_HT29_96H_X1_B3_DUO52HI53LO:O23|KDA003_HT29_96H_X1_B3_DUO52HI53LO:O24|KDA003_HT29_96H_X1_B3_DUO52HI53LO:P21|KDA003_HT29_96H_X1_B3_DUO52HI53LO:P23|KDA003_HT29_96H_X2_B3_DUO52HI53LO:A12|KDA003_HT29_96H_X2_B3_DUO52HI53LO:D23|KDA003_HT29_96H_X2_B3_DUO52HI53LO:E11|KDA003_HT29_96H_X2_B3_DUO52HI53LO:E21|KDA003_HT29_96H_X2_B3_DUO52HI53LO:F09|KDA003_HT29_96H_X2_B3_DUO52HI53LO:F18|KDA003_HT29_96H_X2_B3_DUO52HI53LO:F22|KDA003_HT29_96H_X2_B3_DUO52HI53LO:G01|KDA003_HT29_96H_X2_B3_DUO52HI53LO:O16|KDA003_HT29_96H_X2_B3_DUO52HI53LO:O21|KDA003_HT29_96H_X2_B3_DUO52HI53LO:O22|KDA003_HT29_96H_X2_B3_DUO52HI53LO:O23|KDA003_HT29_96H_X2_B3_DUO52HI53LO:O24|KDA003_HT29_96H_X2_B3_DUO52HI53LO:P21|KDA003_HT29_96H_X2_B3_DUO52HI53LO:P23|KDA003_HT29_96H_X3_B3_DUO52HI53LO:A12|KDA003_HT29_96H_X3_B3_DUO52HI53LO:D23|KDA003_HT29_96H_X3_B3_DUO52HI53LO:E11|KDA003_HT29_96H_X3_B3_DUO52HI53LO:E21|KDA003_HT29_96H_X3_B3_DUO52HI53LO:F09|KDA003_HT29_96H_X3_B3_DUO52HI53LO:F18|KDA003_HT29_96H_X3_B3_DUO52HI53LO:F22|KDA003_HT29_96H_X3_B3_DUO52HI53LO:G01|KDA003_HT29_96H_X3_B3_DUO52HI53LO:O16|KDA003_HT29_96H_X3_B3_DUO52HI53LO:O21|KDA003_HT29_96H_X3_B3_DUO52HI53LO:O22|KDA003_HT29_96H_X3_B3_DUO52HI53LO:O23|KDA003_HT29_96H_X3_B3_DUO52HI53LO:O24|KDA003_HT29_96H_X3_B3_DUO52HI53LO:P21|KDA003_HT29_96H_X3_B3_DUO52HI53LO:P23|KDA003_HT29_96H_X4_B5_DUO52HI53LO:A12|KDA003_HT29_96H_X4_B5_DUO52HI53LO:D23|KDA003_HT29_96H_X4_B5_DUO52HI53LO:E11|KDA003_HT29_96H_X4_B5_DUO52HI53LO:E21|KDA003_HT29_96H_X4_B5_DUO52HI53LO:F09|KDA003_HT29_96H_X4_B5_DUO52HI53LO:F18|KDA003_HT29_96H_X4_B5_DUO52HI53LO:F22|KDA003_HT29_96H_X4_B5_DUO52HI53LO:G01|KDA003_HT29_96H_X4_B5_DUO52HI53LO:O16|KDA003_HT29_96H_X4_B5_DUO52HI53LO:O21|KDA003_HT29_96H_X4_B5_DUO52HI53LO:O22|KDA003_HT29_96H_X4_B5_DUO52HI53LO:O23|KDA003_HT29_96H_X4_B5_DUO52HI53LO:O24|KDA003_HT29_96H_X4_B5_DUO52HI53LO:P21|KDA003_HT29_96H_X4_B5_DUO52HI53LO:P22|KDA003_HT29_96H_X4_B5_DUO52HI53LO:P23|KDA003_HT29_96H_X4_B5_DUO52HI53LO:P24,,KDA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b3,,,"","",96 h,96,h,HT29,CMAP-000,3,0.8427,724,0.789835,0,"0.32,0.34,0.34",0,0,0.799674,0.870706,20.34,80.4766,1,1,CMAP-000,KDA008_HT29_96H:P21,ctl_untrt,HT29,P21,KDA008_HT29_96H_X1_B3_DUO52HI53LO|KDA008_HT29_96H_X2_B3_DUO52HI53LO|KDA008_HT29_96H_X3_B3_DUO52HI53LO,KDA008_HT29_96H_X1_B3_DUO52HI53LO:P21|KDA008_HT29_96H_X2_B3_DUO52HI53LO:P21|KDA008_HT29_96H_X3_B3_DUO52HI53LO:P21,,KDA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b3,,,"","",96 h,96,h,HT29,CMAP-000,3,0.2038,122,0.159446,9.30284,"0.47,0.36,0.18",20.8556,38.8077,0.105991,0.147457,15.01,64.8005,0,1,CMAP-000,KDA007_HT29_96H:O07,ctl_untrt,HT29,O07,KDA007_HT29_96H_X1_B3_DUO52HI53LO|KDA007_HT29_96H_X2_B3_DUO52HI53LO|KDA007_HT29_96H_X3_B3_DUO52HI53LO,KDA007_HT29_96H_X1_B3_DUO52HI53LO:O07|KDA007_HT29_96H_X2_B3_DUO52HI53LO:O07|KDA007_HT29_96H_X3_B3_DUO52HI53LO:O07,,KDA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
b3,,,"","",96 h,96,h,HT29,CMAP-000,3,0.3374,111,0.195688,2.08703,"0.26,0.39,0.34",5.34404,10.0033,0.246471,0.421841,15.01,64.8005,0,1,CMAP-000,KDA007_HT29_96H:O24,ctl_untrt,HT29,O24,KDA007_HT29_96H_X1_B3_DUO52HI53LO|KDA007_HT29_96H_X2_B3_DUO52HI53LO|KDA007_HT29_96H_X3_B3_DUO52HI53LO,KDA007_HT29_96H_X1_B3_DUO52HI53LO:O24|KDA007_HT29_96H_X2_B3_DUO52HI53LO:O24|KDA007_HT29_96H_X3_B3_DUO52HI53LO:O24,,KDA,UnTrt,0,0,0,1,357,UnTrt__96 h_HT29,354,UnTrt__96 h
