bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b11,10,9.5278,uM,10 uM,24 h,24,h,MCF7,BRD-K77888550,3,0.38,277,0.328067,0.370028,"""""""""""""""""""""""""""""""""",12.8342,7.4781,0.1733,0.497857,13.21,58.3118,0,1,BRD-K77888550,DOSBIO001_MCF7_24H:BRD-K77888550:9.5278,trt_cp,MCF7,L14,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:L14|DOSBIO001_MCF7_24H_X2_B11:L14|DOSBIO001_MCF7_24H_X3_B11:L14,,DOSBIO,BRD-K77888550,1,1,0,1,1409,BRD-K77888550_10 uM_24 h_MCF7,1,BRD-K77888550_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K26104851,3,0.48,404,0.445289,0,"""""""""""""""""""""""""""""""""",0.530159,0,0.372619,0.729339,10.41,44.5019,1,1,BRD-K26104851,CPD002_MCF7_24H:BRD-K26104851-001-15-3:10,trt_cp,MCF7,O12,CPD002_MCF7_24H_X1_B6_DUO52HI53LO|CPD002_MCF7_24H_X2_B6_DUO52HI53LO|CPD002_MCF7_24H_X3_B6_DUO52HI53LO,CPD002_MCF7_24H_X1_B6_DUO52HI53LO:O12|CPD002_MCF7_24H_X2_B6_DUO52HI53LO:O12|CPD002_MCF7_24H_X3_B6_DUO52HI53LO:O12,,CPD,nifuroxazide,1,1,0,1,1409,nifuroxazide_10 uM_24 h_MCF7,1,nifuroxazide_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K05236810-001-14-1,3,0.4222,299,0.359274,0,"0.33,0.34,0.33",0,0,0.409185,0.600242,14.95,64.6569,1,1,BRD-K05236810,CPD003_MCF7_24H:M21,trt_cp,MCF7,M21,CPD003_MCF7_24H_X1_B6_DUO52HI53LO|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO,CPD003_MCF7_24H_X1_B6_DUO52HI53LO:M21|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO:M21|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO:M21,,CPD,luteolin,1,1,0,1,1409,luteolin_10 uM_24 h_MCF7,1,luteolin_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K29458283-001-23-2,3,0.393,278,0.334233,1.54293,"0.27,0.34,0.39",1.2,0.669945,0.287432,0.617704,14.95,64.6569,1,1,BRD-K29458283,CPD003_MCF7_24H:H20,trt_cp,MCF7,H20,CPD003_MCF7_24H_X1_B6_DUO52HI53LO|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO,CPD003_MCF7_24H_X1_B6_DUO52HI53LO:H20|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO:H20|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO:H20,,CPD,chlorambucil,1,1,0,1,1409,chlorambucil_10 uM_24 h_MCF7,1,chlorambucil_10 uM_24 h
b11,10,10.0743,uM,10 uM,24 h,24,h,MCF7,BRD-K31380618,3,0.44,219,0.313891,0,"""""""""""""""""""""""""""""""""",0,0.267023,0.424073,0.722838,15.89,68.1883,1,1,BRD-K31380618,DOSBIO002_MCF7_24H:BRD-K31380618:10.0743,trt_cp,MCF7,J04,DOSBIO002_MCF7_24H_X1_B11|DOSBIO002_MCF7_24H_X2_B11|DOSBIO002_MCF7_24H_X3_B11,DOSBIO002_MCF7_24H_X1_B11:J04|DOSBIO002_MCF7_24H_X2_B11:J04|DOSBIO002_MCF7_24H_X3_B11:J04,,DOSBIO,BRD-K31380618,1,1,0,1,1409,BRD-K31380618_10 uM_24 h_MCF7,1,BRD-K31380618_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K03319035,3,0.46,308,0.380614,2.42588,"""""""""""""""""""""""""""""""""",6.60294,5.28019,0.39089,0.574837,8.84,36.0609,0,1,BRD-K03319035,CPD001_MCF7_24H:BRD-K03319035-003-14-2:10,trt_cp,MCF7,F23,CPD001_MCF7_24H_X1_B6_DUO52HI53LO|CPD001_MCF7_24H_X2_B6_DUO52HI53LO|CPD001_MCF7_24H_X3_B6_DUO52HI53LO,CPD001_MCF7_24H_X1_B6_DUO52HI53LO:F23|CPD001_MCF7_24H_X2_B6_DUO52HI53LO:F23|CPD001_MCF7_24H_X3_B6_DUO52HI53LO:F23,,CPD,maprotiline,1,1,0,1,1409,maprotiline_10 uM_24 h_MCF7,1,maprotiline_10 uM_24 h
b32,6.66,5.5,uM,6.66 uM,6 h,6,h,MCF7,BRD-A36536537,3,0.61,261,0.403474,0,"0.34,0.33,0.33",0.531915,0.531915,0.591087,0.770075,-0.34,5.13925,1,1,BRD-A36536537,LPROT004_MCF7_6H:BRD-A36536537:5.5,trt_cp,MCF7,C13|C15|C17,LPROT004_MCF7_6H_X1_B32,LPROT004_MCF7_6H_X1_B32:C13|LPROT004_MCF7_6H_X1_B32:C15|LPROT004_MCF7_6H_X1_B32:C17,,LPROT,BRD-A36536537,1,1,0,1,1409,BRD-A36536537_6.66 uM_6 h_MCF7,1,BRD-A36536537_6.66 uM_6 h
b11,10,10.2049,uM,10 uM,24 h,24,h,MCF7,BRD-K88373420,3,0.32,292,0.309099,8.619,"""""""""""""""""""""""""""""""""",14.8928,22.7905,0.258664,0.433208,15.89,68.1883,0,1,BRD-K88373420,DOSBIO002_MCF7_24H:BRD-K88373420:10.2049,trt_cp,MCF7,B03,DOSBIO002_MCF7_24H_X1_B11|DOSBIO002_MCF7_24H_X2_B11|DOSBIO002_MCF7_24H_X3_B11,DOSBIO002_MCF7_24H_X1_B11:B03|DOSBIO002_MCF7_24H_X2_B11:B03|DOSBIO002_MCF7_24H_X3_B11:B03,,DOSBIO,BRD-K88373420,1,1,0,1,1409,BRD-K88373420_10 uM_24 h_MCF7,1,BRD-K88373420_10 uM_24 h
b11,10,9.36695,uM,10 uM,24 h,24,h,MCF7,BRD-K96697180,3,0.46,320,0.387958,0.277521,"""""""""""""""""""""""""""""""""",5.47346,2.00535,0.41899,0.610688,13.21,58.3118,1,1,BRD-K96697180,DOSBIO001_MCF7_24H:BRD-K96697180:9.36695,trt_cp,MCF7,P11,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:P11|DOSBIO001_MCF7_24H_X2_B11:P11|DOSBIO001_MCF7_24H_X3_B11:P11,,DOSBIO,BRD-K96697180,1,1,0,1,1409,BRD-K96697180_10 uM_24 h_MCF7,1,BRD-K96697180_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K92923799,3,0.8,654,0.731416,0.0903342,"""""""""""""""""""""""""""""""""",0.268817,0.134409,0.784883,0.862638,10.41,44.5019,1,1,BRD-K92923799,CPD002_MCF7_24H:BRD-K92923799-001-01-0:10,trt_cp,MCF7,G13,CPD002_MCF7_24H_X1_B6_DUO52HI53LO|CPD002_MCF7_24H_X2_B6_DUO52HI53LO|CPD002_MCF7_24H_X3_B6_DUO52HI53LO,CPD002_MCF7_24H_X1_B6_DUO52HI53LO:G13|CPD002_MCF7_24H_X2_B6_DUO52HI53LO:G13|CPD002_MCF7_24H_X3_B6_DUO52HI53LO:G13,,CPD,digitoxigenin,1,1,0,1,1409,digitoxigenin_10 uM_24 h_MCF7,1,digitoxigenin_10 uM_24 h
