bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b37,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1597,113,0.135847,11.9584,"0.44,0.15,0.41",32.2281,17.7719,0.0475435,0.421246,12.73,55.7565,0,1,CMAP-000,XPR023_ES2.311_96H:M01,ctl_untrt,ES2,M01,XPR023_ES2.311_96H_X1_B37|XPR023_ES2.311_96H_X2_B37|XPR023_ES2.311_96H_X3_B37,XPR023_ES2.311_96H_X1_B37:M01|XPR023_ES2.311_96H_X2_B37:M01|XPR023_ES2.311_96H_X3_B37:M01,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.0568,99,0.0758329,22.7064,"0.44,0.12,0.44",51.9445,36.3745,-0.0064753,0.0265319,9.42,39.1329,0,1,CMAP-000,XPR022_ES2.311_96H:N05,ctl_untrt,ES2,N05,XPR022_ES2.311_96H_X1_B36|XPR022_ES2.311_96H_X2_B36|XPR022_ES2.311_96H_X3_B36,XPR022_ES2.311_96H_X1_B36:N05|XPR022_ES2.311_96H_X2_B36:N05|XPR022_ES2.311_96H_X3_B36:N05,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.357,121,0.210176,3.77907,"0.46,0.40,0.14",18.6276,39.5531,0.12091,0.176634,15.07,65.0301,0,1,CMAP-000,XPR026_ES2.311_96H:H03,ctl_untrt,ES2,H03,XPR026_ES2.311_96H_X1_B37|XPR026_ES2.311_96H_X2_B37|XPR026_ES2.311_96H_X3.A2_B39,XPR026_ES2.311_96H_X1_B37:H03|XPR026_ES2.311_96H_X2_B37:H03|XPR026_ES2.311_96H_X3.A2_B39:H03,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1981,70,0.119088,3.97627,"0.30,0.39,0.31",3.82586,16.3903,0.186098,0.309551,21.32,82.2854,1,1,CMAP-000,XPR034_ES2.311_96H:O05,ctl_untrt,ES2,O05,XPR034_ES2.311_96H_X1_B40|XPR034_ES2.311_96H_X2_B40|XPR034_ES2.311_96H_X3_B40,XPR034_ES2.311_96H_X1_B40:O05|XPR034_ES2.311_96H_X2_B40:O05|XPR034_ES2.311_96H_X3_B40:O05,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.3275,121,0.201289,3,"0.27,0.36,0.36",30.5,26.5,0.220291,0.470895,0,0,0,1,CMAP-000,XPR008_ES2.311_96H:E18,ctl_untrt,ES2,E18,XPR008_ES2.311_96H_X1_B35|XPR008_ES2.311_96H_X2_B35|XPR008_ES2.311_96H_X3_B35,XPR008_ES2.311_96H_X1_B35:E18|XPR008_ES2.311_96H_X2_B35:E18|XPR008_ES2.311_96H_X3_B35:E18,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.3695,161,0.246636,0.807175,"0.33,0.31,0.36",1.09328,2.52919,0.338043,0.54163,9.36,38.7884,1,1,CMAP-000,XPR011_ES2.311_96H:I24,ctl_untrt,ES2,I24,XPR011_ES2.311_96H_X1_B35|XPR011_ES2.311_96H_X2_B35|XPR011_ES2.311_96H_X3_B35,XPR011_ES2.311_96H_X1_B35:I24|XPR011_ES2.311_96H_X2_B35:I24|XPR011_ES2.311_96H_X3_B35:I24,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.3854,176,0.263363,5.59034,"0.29,0.37,0.34",16.6204,6.02581,0.306705,0.583696,8.27,33.0462,0,1,CMAP-000,XPR009_ES2.311_96H:M02,ctl_untrt,ES2,M02,XPR009_ES2.311_96H_X1_B35|XPR009_ES2.311_96H_X2_B35|XPR009_ES2.311_96H_X3_B35,XPR009_ES2.311_96H_X1_B35:M02|XPR009_ES2.311_96H_X2_B35:M02|XPR009_ES2.311_96H_X3_B35:M02,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1582,128,0.143902,12.1714,"0.50,0.31,0.19",25.6885,61.6652,0.108292,0,10.18,43.0376,0,1,CMAP-000,XPR024_ES2.311_96H:D02,ctl_untrt,ES2,D02,XPR024_ES2.311_96H_X1_B37|XPR024_ES2.311_96H_X2_B37|XPR024_ES2.311_96H_X3_B37,XPR024_ES2.311_96H_X1_B37:D02|XPR024_ES2.311_96H_X2_B37:D02|XPR024_ES2.311_96H_X3_B37:D02,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.435,100,0.210906,0.468332,"0.35,0.36,0.29",4.26119,2.29111,0.333505,0.501626,9.19,37.9845,1,1,CMAP-000,XPR017_ES2.311_96H:E17,ctl_untrt,ES2,E17,XPR017_ES2.311_96H_X1_B35|XPR017_ES2.311_96H_X2_B35|XPR017_ES2.311_96H_X3_B35,XPR017_ES2.311_96H_X1_B35:E17|XPR017_ES2.311_96H_X2_B35:E17|XPR017_ES2.311_96H_X3_B35:E17,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b38,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1524,73,0.106666,20.3562,"0.05,0.48,0.48",72.3433,49.3188,-0.0770195,0.127117,13.37,59.0296,0,1,CMAP-000,XPR029_ES2.311_96H:M09,ctl_untrt,ES2,M09,XPR029_ES2.311_96H_X1_B38|XPR029_ES2.311_96H_X2_B38|XPR029_ES2.311_96H_X3_B38,XPR029_ES2.311_96H_X1_B38:M09|XPR029_ES2.311_96H_X2_B38:M09|XPR029_ES2.311_96H_X3_B38:M09,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
