bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b11,10,9.5278,uM,10 uM,24 h,24,h,MCF7,BRD-K77888550,3,0.38,277,0.328067,0.370028,"""""""""""""""""""""""""""""""""",12.8342,7.4781,0.1733,0.497857,13.21,58.3118,0,1,BRD-K77888550,DOSBIO001_MCF7_24H:BRD-K77888550:9.5278,trt_cp,MCF7,L14,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:L14|DOSBIO001_MCF7_24H_X2_B11:L14|DOSBIO001_MCF7_24H_X3_B11:L14,,DOSBIO,BRD-K77888550,1,1,0,1,BRD-K77888550_10 uM_24 h_MCF7,1,BRD-K77888550_10 uM_24 h
b11,10,10.2049,uM,10 uM,24 h,24,h,MCF7,BRD-K88373420,3,0.32,292,0.309099,8.619,"""""""""""""""""""""""""""""""""",14.8928,22.7905,0.258664,0.433208,15.89,68.1883,0,1,BRD-K88373420,DOSBIO002_MCF7_24H:BRD-K88373420:10.2049,trt_cp,MCF7,B03,DOSBIO002_MCF7_24H_X1_B11|DOSBIO002_MCF7_24H_X2_B11|DOSBIO002_MCF7_24H_X3_B11,DOSBIO002_MCF7_24H_X1_B11:B03|DOSBIO002_MCF7_24H_X2_B11:B03|DOSBIO002_MCF7_24H_X3_B11:B03,,DOSBIO,BRD-K88373420,1,1,0,1,BRD-K88373420_10 uM_24 h_MCF7,1,BRD-K88373420_10 uM_24 h
b11,10,10.1026,uM,10 uM,24 h,24,h,MCF7,BRD-K30229575,3,0.5,241,0.351014,0.185014,"""""""""""""""""""""""""""""""""",3.85709,3.1922,0.236009,0.48951,13.21,58.3118,1,1,BRD-K30229575,DOSBIO001_MCF7_24H:BRD-K30229575:10.1026,trt_cp,MCF7,E01,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:E01|DOSBIO001_MCF7_24H_X2_B11:E01|DOSBIO001_MCF7_24H_X3_B11:E01,,DOSBIO,BRD-K30229575,1,1,0,1,BRD-K30229575_10 uM_24 h_MCF7,1,BRD-K30229575_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K21532219,3,0.47,274,0.362873,2.57937,"0.39,0.35,0.26",15.3721,3.18938,0.323166,0.674754,17.29,72.3801,1,1,BRD-K21532219,PCL001_MCF7_24H:BRD-K21532219:10,trt_cp,MCF7,L01,PCL001_MCF7_24H_X1_B20|PCL001_MCF7_24H_X2_B20|PCL001_MCF7_24H_X3_B20,PCL001_MCF7_24H_X1_B20:L01|PCL001_MCF7_24H_X2_B20:L01|PCL001_MCF7_24H_X3_B20:L01,,PCL,UMB-32,1,1,0,1,UMB-32_10 uM_24 h_MCF7,1,UMB-32_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K40328231,3,0.42,281,0.347383,2.66755,"0.30,0.34,0.36",5.0349,11.2736,0.357419,0.531031,17.29,72.3801,0,1,BRD-K40328231,PCL001_MCF7_24H:BRD-K40328231:10,trt_cp,MCF7,F19,PCL001_MCF7_24H_X1_B20|PCL001_MCF7_24H_X2_B20|PCL001_MCF7_24H_X3_B20,PCL001_MCF7_24H_X1_B20:F19|PCL001_MCF7_24H_X2_B20:F19|PCL001_MCF7_24H_X3_B20:F19,,PCL,BRD-K40328231,1,1,0,1,BRD-K40328231_10 uM_24 h_MCF7,1,BRD-K40328231_10 uM_24 h
b21,2.5,2.63,uM,2.5 uM,24 h,24,h,MCF7,BRD-K90004018,3,0.49,240,0.346764,0.465839,"0.30,0.35,0.35",1.84697,0.670979,0.393134,0.63095,17.68,73.6434,1,1,BRD-K90004018,ERAM001_MCF7_24H:BRD-K90004018:2.63,trt_cp,MCF7,I24,ERAM001_MCF7_24H_X1_B21|ERAM001_MCF7_24H_X2_B21|ERAM001_MCF7_24H_X3_B21,ERAM001_MCF7_24H_X1_B21:I24|ERAM001_MCF7_24H_X2_B21:I24|ERAM001_MCF7_24H_X3_B21:I24,,ERAM,BRD-K90004018,1,1,0,1,BRD-K90004018_2.5 uM_24 h_MCF7,1,BRD-K90004018_2.5 uM_24 h
b11,10,9.80202,uM,10 uM,24 h,24,h,MCF7,BRD-K74446951,3,0.35,267,0.309115,3.88529,"""""""""""""""""""""""""""""""""",10.0267,64.1711,0.128061,0.122514,13.21,58.3118,0,1,BRD-K74446951,DOSBIO001_MCF7_24H:BRD-K74446951:9.80202,trt_cp,MCF7,O07,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:O07|DOSBIO001_MCF7_24H_X2_B11:O07|DOSBIO001_MCF7_24H_X3_B11:O07,,DOSBIO,BRD-K74446951,1,1,0,1,BRD-K74446951_10 uM_24 h_MCF7,1,BRD-K74446951_10 uM_24 h
b21,1.25,1.32,uM,1.25 uM,24 h,24,h,MCF7,BRD-K34990278,3,0.46,362,0.412633,0.621118,"0.36,0.33,0.31",2.39156,6.76201,0.41148,0.572317,17.68,73.6434,1,1,BRD-K34990278,ERAM001_MCF7_24H:BRD-K34990278:1.32,trt_cp,MCF7,E24,ERAM001_MCF7_24H_X1_B21|ERAM001_MCF7_24H_X2_B21|ERAM001_MCF7_24H_X3_B21,ERAM001_MCF7_24H_X1_B21:E24|ERAM001_MCF7_24H_X2_B21:E24|ERAM001_MCF7_24H_X3_B21:E24,,ERAM,BRD-K34990278,1,1,0,1,BRD-K34990278_1.25 uM_24 h_MCF7,1,BRD-K34990278_1.25 uM_24 h
b11,10,10.0904,uM,10 uM,24 h,24,h,MCF7,BRD-K61753121,3,0.37,441,0.408461,2.05681,"""""""""""""""""""""""""""""""""",29.7516,32.7978,0.0677161,0.321967,15.89,68.1883,0,1,BRD-K61753121,DOSBIO002_MCF7_24H:BRD-K61753121:10.0904,trt_cp,MCF7,C04,DOSBIO002_MCF7_24H_X1_B11|DOSBIO002_MCF7_24H_X2_B11|DOSBIO002_MCF7_24H_X3_B11,DOSBIO002_MCF7_24H_X1_B11:C04|DOSBIO002_MCF7_24H_X2_B11:C04|DOSBIO002_MCF7_24H_X3_B11:C04,,DOSBIO,BRD-K61753121,1,1,0,1,BRD-K61753121_10 uM_24 h_MCF7,1,BRD-K61753121_10 uM_24 h
b23,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K80738081,3,0.48,306,0.387536,0,"0.33,0.33,0.34",0,0,0.463838,0.659224,25.21,87.9701,1,1,BRD-K80738081,ENR001_MCF7_24H:C01,trt_cp,MCF7,C01,ENR001_MCF7_24H_X1_B23|ENR001_MCF7_24H_X2_B23|ENR001_MCF7_24H_X3_B23,ENR001_MCF7_24H_X1_B23:C01|ENR001_MCF7_24H_X2_B23:C01|ENR001_MCF7_24H_X3_B23:C01,,ENR,resveratrol,1,1,0,1,resveratrol_10 uM_24 h_MCF7,1,resveratrol_10 uM_24 h
