bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K02764265,5,0.44,303,0.369214,1.1236,"""""""""""""""""""""""""""""""""",0,0,0,0,1.45,10.0201,0,1,BRD-K02764265,KHW001_HA1E_6H:BRD-K02764265-001-05-2:10,trt_cp,HA1E,A15|B15|C15|D15|P14,KHW001_HA1E_6H_X1_F1B3_DUO52HI53LO,KHW001_HA1E_6H_X1_F1B3_DUO52HI53LO:A15|KHW001_HA1E_6H_X1_F1B3_DUO52HI53LO:B15|KHW001_HA1E_6H_X1_F1B3_DUO52HI53LO:C15|KHW001_HA1E_6H_X1_F1B3_DUO52HI53LO:D15|KHW001_HA1E_6H_X1_F1B3_DUO52HI53LO:P14,,KHW,BRD-K02764265,1,1,0,1,BRD-K02764265_10 uM_6 h_HA1E,1,BRD-K02764265_10 uM_6 h
b20,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K10361096,3,0.57,311,0.425744,0.964991,"0.35,0.32,0.33",3.08565,2.68458,0.524511,0.727246,12.9,56.6179,1,1,BRD-K10361096,PCL001_HA1E_24H:BRD-K10361096:10,trt_cp,HA1E,H13,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:H13|PCL001_HA1E_24H_X2_B20:H13|PCL001_HA1E_24H_X3_B20:H13,,PCL,BRD-K10361096,1,1,0,1,BRD-K10361096_10 uM_24 h_HA1E,1,BRD-K10361096_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K71855865,3,0.63,343,0.470054,0.381508,"0.36,0.30,0.34",2.41073,0.68306,0.521688,0.741539,12.9,56.6179,1,1,BRD-K71855865,PCL001_HA1E_24H:BRD-K71855865:10,trt_cp,HA1E,E13,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:E13|PCL001_HA1E_24H_X2_B20:E13|PCL001_HA1E_24H_X3_B20:E13,,PCL,BRD-K71855865,1,1,0,1,BRD-K71855865_10 uM_24 h_HA1E,1,BRD-K71855865_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K23412959,3,0.5,195,0.315742,1.57092,"0.34,0.36,0.30",4.05161,0.407633,0.420383,0.721181,12.9,56.6179,1,1,BRD-K23412959,PCL001_HA1E_24H:BRD-K23412959:10,trt_cp,HA1E,G01,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:G01|PCL001_HA1E_24H_X2_B20:G01|PCL001_HA1E_24H_X3_B20:G01,,PCL,BRD-K23412959,1,1,0,1,BRD-K23412959_10 uM_24 h_HA1E,1,BRD-K23412959_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K50817946,3,0.71,492,0.597644,0.179533,"0.37,0.35,0.28",1.77375,0.271021,0.531765,0.770868,12.9,56.6179,1,1,BRD-K50817946,PCL001_HA1E_24H:BRD-K50817946:10,trt_cp,HA1E,G19,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:G19|PCL001_HA1E_24H_X2_B20:G19|PCL001_HA1E_24H_X3_B20:G19,,PCL,BRD-K50817946,1,1,0,1,BRD-K50817946_10 uM_24 h_HA1E,1,BRD-K50817946_10 uM_24 h
b7,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K29313308,6,0.39,277,0.332355,1.32827,"""""""""""""""""""""""""""""""""",8.83192,3.17962,0.321382,0.551588,7.78,30.5484,1,1,BRD-K29313308,HDAC002_HA1E_6H:BRD-K29313308-001-02-4:10,trt_cp,HA1E,H07|I07,HDAC002_HA1E_6H_X3_B7_DUO52HI53LO|HDAC002_HA1E_6H_X4_B7_DUO52HI53LO|HDAC002_HA1E_6H_X5_B7_DUO52HI53LO,HDAC002_HA1E_6H_X3_B7_DUO52HI53LO:H07|HDAC002_HA1E_6H_X3_B7_DUO52HI53LO:I07|HDAC002_HA1E_6H_X4_B7_DUO52HI53LO:H07|HDAC002_HA1E_6H_X4_B7_DUO52HI53LO:I07|HDAC002_HA1E_6H_X5_B7_DUO52HI53LO:H07|HDAC002_HA1E_6H_X5_B7_DUO52HI53LO:I07,,HDAC,HDAC3-selective,1,1,0,1,HDAC3-selective_10 uM_6 h_HA1E,1,HDAC3-selective_10 uM_6 h
b20,3.33,3.33,uM,3.33 uM,24 h,24,h,HA1E,BRD-K93425199,3,0.51,297,0.393545,0.224417,"0.40,0.34,0.26",0.674246,0,0.365805,0.715496,12.9,56.6179,1,1,BRD-K93425199,PCL001_HA1E_24H:BRD-K93425199:3.33,trt_cp,HA1E,J02,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:J02|PCL001_HA1E_24H_X2_B20:J02|PCL001_HA1E_24H_X3_B20:J02,,PCL,BRD-K93425199,1,1,0,1,BRD-K93425199_3.33 uM_24 h_HA1E,1,BRD-K93425199_3.33 uM_24 h
b20,1.11,1.11,uM,1.11 uM,24 h,24,h,HA1E,BRD-A89859721,3,0.68,378,0.512662,0,"0.33,0.33,0.34",0,0.13369,0.656108,0.73209,12.9,56.6179,1,1,BRD-A89859721,PCL001_HA1E_24H:BRD-A89859721:1.11,trt_cp,HA1E,J09,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:J09|PCL001_HA1E_24H_X2_B20:J09|PCL001_HA1E_24H_X3_B20:J09,,PCL,BRD-A89859721,1,1,0,1,BRD-A89859721_1.11 uM_24 h_HA1E,1,BRD-A89859721_1.11 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K78385490,3,0.35,310,0.333078,0,"""""""""""""""""""""""""""""""""",5.63028,3.60133,0.129311,0.485422,22.72,84.1229,1,1,BRD-K78385490,CPC010_HA1E_6H:BRD-K78385490-019-02-2:10,trt_cp,HA1E,I12,CPC010_HA1E_6H_X1_B4_DUO52HI53LO|CPC010_HA1E_6H_X2_B4_DUO52HI53LO|CPC010_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC010_HA1E_6H_X1_B4_DUO52HI53LO:I12|CPC010_HA1E_6H_X2_B4_DUO52HI53LO:I12|CPC010_HA1E_6H_X3_F1B3_DUO52HI53LO:I12,,CPC,BRD-K78385490,1,1,0,1,BRD-K78385490_10 uM_6 h_HA1E,1,BRD-K78385490_10 uM_6 h
f1b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K16406336-311-01-2,3,0.6441,395,0.510042,0,"0.31,0.33,0.35",0,0,0.595615,0.792429,12.99,57.1059,1,1,BRD-K16406336,CPC006_HA1E_24H:G02,trt_cp,HA1E,G02,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO|CPC006_HA1E_24H_X2_B3_DUO52HI53LO|CPC006_HA1E_24H_X3_B3_DUO52HI53LO,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO:G02|CPC006_HA1E_24H_X2_B3_DUO52HI53LO:G02|CPC006_HA1E_24H_X3_B3_DUO52HI53LO:G02,,CPC,methylene-blue,1,1,0,1,methylene-blue_10 uM_24 h_HA1E,1,methylene-blue_10 uM_24 h
