,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,0.4189967,0.26223156,-0.9413562,-0.23127666,-0.35871086,-0.29659736,-0.7107623,-0.16666265,0.5067121,0.27877727,-0.1927678,-0.56444,0.4126669,-0.36489916,0.0021405136,0.03885264,0.1838481,-1.2287341,0.034043986,0.17783436,1.0698693,0.74944085,-0.36108947,-0.6321522,-0.53146404,0.2598869,0.43045038,0.3564532,0.1887816,-1.1184286,-0.6409678,0.020486182,1,1
1,0.54869395,0.046706602,-0.9227392,-0.22093906,0.41872087,-1.1415766,-0.5436537,-0.39954585,0.61981994,-0.0684225,0.48857984,-0.43009597,0.20853963,-0.8496543,-0.20591386,0.57853645,-0.18215166,-0.890131,-0.5190763,-0.13818936,0.77928704,0.34382963,0.21540473,-1.2129118,-0.53701675,0.39167964,0.48876604,-0.24089396,0.0718995,-0.7960862,-1.2587469,-0.11223025,1,1
2,-2.1071842,1.2705231,2.3839178,-0.33441862,-3.8641217,4.728369,-0.84178007,1.4933931,-2.4539835,2.6858559,-3.3508723,1.4554021,0.0015754038,1.0934544,-1.3603078,-3.3092942,3.3990185,0.38753995,-0.33624637,-0.30582368,1.3217953,-0.50283116,-1.643279,4.912663,-0.074949436,-0.65490085,0.4700585,1.5809525,-1.6321238,0.74941623,6.2349844,1.4328252,0,0
3,0.37722293,0.38788313,-0.7836891,-0.7943677,-0.7000967,-0.04104667,-0.7653575,0.057077944,0.75214696,0.028978772,-0.038788915,-0.99127483,0.46893957,0.08507474,-0.23260775,-0.52693856,0.08563666,-1.5538621,0.17507975,0.7655035,0.8650075,0.27235067,-0.07561404,-0.39293778,-0.5818498,0.6743509,0.14546645,-0.051710732,0.050551403,-0.53015405,-0.64001006,0.07364824,1,1
4,1.8254155,0.33728576,-0.8488336,-0.20876057,1.2009711,-1.7609364,-0.8652313,-1.145939,1.5894407,0.34486413,2.2404556,-1.0171709,-0.71487486,-1.297687,-1.1020416,1.895304,-0.27470362,-0.54099804,-0.4482517,-1.0990881,0.70586884,0.10239652,0.9729867,-2.5804381,-0.7824513,0.5337511,1.4115843,-1.160934,0.48699483,-0.7963572,-1.7067974,0.063459836,1,1
5,-2.0672603,1.2265774,2.337206,-0.39078802,-3.9284868,4.7766957,-0.9073542,1.6240984,-2.4098012,2.5849266,-3.4116592,1.4688574,0.026457174,1.1331766,-1.4193832,-3.448941,3.412477,0.32815972,-0.27801442,-0.13891323,1.3511013,-0.41243094,-1.6940147,4.874053,-0.071296535,-0.5774113,0.4883493,1.5208378,-1.643904,0.64552766,6.1646495,1.395286,1,0
6,0.82343405,-0.23592585,-0.9293014,-0.19070733,1.4881337,-1.8673258,-0.6214818,-0.72976726,0.59514344,-0.49787232,0.84578097,-0.20126314,-0.29953098,-1.5953515,-0.8848767,1.1896795,-0.29926565,-0.05504642,-0.99561274,-0.4594086,0.5161929,0.07660411,0.40630054,-2.0689123,-0.48201734,0.41626236,1.2836236,-1.0595375,-0.07231932,-1.1682649,-2.0605552,-0.60994506,1,1
7,1.501855,0.18086451,-1.0723265,-0.27332178,0.95844644,-1.863791,-0.72159815,-1.1674713,1.2139022,0.33872494,2.2619987,-1.1328969,-0.4949467,-1.3066102,-0.8339084,1.3844664,-0.26144284,-0.49186605,-0.09560606,-0.5225914,0.5877051,0.042976163,0.9314721,-2.0188708,-0.9727883,0.7259964,1.1132743,-1.3201926,0.12171972,-0.76909286,-1.4373939,-0.13827142,1,1
8,-1.9129301,1.1742148,2.1152675,-0.35004997,-3.706939,4.4308066,-0.8239269,1.4448482,-2.4018006,2.3070996,-3.2285798,1.303263,0.060347605,1.0077293,-1.2510484,-3.2603307,3.2290041,0.28045982,-0.3434201,-0.08372223,1.2168427,-0.4032989,-1.6333075,4.614155,-0.19211474,-0.54515266,0.46865106,1.4548129,-1.5493393,0.6067724,5.7171144,1.4133878,1,0
9,0.8963516,0.045334846,-0.8618798,-0.25483868,0.8463352,-1.0473034,-0.58673847,-0.56788015,0.63934934,-0.41472015,0.8673487,-0.40650645,-0.13180844,-0.7575261,-0.3473187,0.82993084,-0.5531238,-0.5222577,-0.8572154,-0.43405673,0.51579934,0.15752551,0.36810443,-1.6212178,-0.70842284,0.3476318,0.8712218,-0.71864814,0.11434369,-0.5400997,-1.4814407,-0.44383234,1,1
10,-0.47224593,0.00555804,-0.5389488,-1.1256925,-0.8915677,0.36702132,-0.6305496,0.73214334,-0.1288247,-0.84225535,-1.6079465,-0.28728452,0.89168715,0.3113686,-0.46859562,-1.4803295,0.29319087,-1.2936695,-0.43457556,1.7141128,0.8204052,0.12667872,-0.61034214,0.10865423,-0.2170073,0.7174954,0.10991769,0.15627444,-0.2968671,-0.7038774,-0.768146,-0.043390565,1,1
11,1.369197,-0.57729197,-1.1500827,0.3174173,0.60680556,-2.1579764,-0.87399024,-0.41539288,1.1313419,1.2232002,1.4373453,-0.2899943,0.08962434,-1.4864942,-0.4919674,0.8731296,0.43012124,-0.85870653,0.4206653,-0.28628436,1.4084271,0.97166187,0.52854097,-1.9902185,-0.53562915,1.0081673,0.799205,-0.5955392,0.16218828,-1.4154514,-0.9892399,-0.21011052,1,1
12,1.088717,0.53863686,-0.64346856,-1.15085,0.47523782,-0.85162646,-0.64384377,-0.58208615,1.5271837,-0.21064804,1.3856016,-1.3531367,-0.061302833,-0.49196744,-0.8177308,0.5418572,-0.39907995,-1.2384948,-0.56785434,0.18339513,0.76156545,-0.33811527,0.9784126,-1.6117345,-0.80384535,0.74667835,0.61537606,-0.9387544,0.34750766,-0.12750685,-1.5740105,0.46344027,1,1
13,0.4417021,-0.15891095,-1.3276945,-0.6202209,0.5241685,-1.5435995,-0.59729123,-0.49203718,1.0106502,0.21231109,0.7131665,-0.67419726,0.28728643,-0.8591937,-0.3403129,0.14114216,-0.28754434,-0.9385704,0.305855,0.5464283,0.88616043,0.12593213,0.46914196,-1.3106906,-0.5250871,0.9064866,0.40027228,-0.841782,-0.053228788,-0.9081259,-1.1674154,-0.6585615,1,1
14,0.3243118,-0.26262903,-0.61556816,-0.4560742,0.67639506,-0.3644761,-0.45354056,0.008360902,0.10705463,-0.73701984,-0.24713708,0.2604324,0.31962568,-0.2778937,-0.058817886,0.0063629006,-0.5977269,-0.25487435,-1.0237882,0.14973554,0.5724971,0.264369,0.011178015,-1.166659,-0.5226953,0.38265413,0.73922926,-0.5608311,-0.059972476,-0.6084006,-1.3328307,-0.78345805,1,1
15,1.4647962,0.70933217,-0.79903495,-0.95328677,1.2453308,-1.4729785,-0.3372406,-1.3879657,2.5143006,0.3800686,1.2715883,-0.58611804,0.026633257,-0.5284718,-0.22696152,1.8841867,-1.3786398,-1.3125367,-0.47370452,-0.76466906,1.2797449,-0.29173678,1.4269515,-3.2272599,-0.042157866,0.46253225,1.0635353,-0.41223735,1.479959,-0.7570788,-1.942618,0.7098318,1,1
16,-2.0129435,1.2653908,2.34329,-0.4199308,-3.9127424,4.799334,-0.92136186,1.5969533,-2.3810315,2.548896,-3.3664873,1.4002498,0.01298863,1.202548,-1.390642,-3.3855696,3.3505998,0.29372272,-0.31518182,-0.15700302,1.303088,-0.43740124,-1.6704384,4.838715,-0.107026115,-0.58045113,0.45955512,1.4936945,-1.6058394,0.72039735,6.0849466,1.374594,1,1
17,0.33403635,-0.32197973,-0.99580544,-0.4639814,0.113808885,-0.7383838,-0.66923517,0.077348515,0.052209165,-0.39846936,0.74654835,-0.6016782,0.22404017,-0.613075,-0.39632443,-0.5066222,0.13971902,-0.45422146,-0.18244176,0.68669873,0.4279488,0.35717157,0.07317383,-0.38662425,-1.0611728,0.8252385,0.37437063,-1.0951405,-0.6516767,-0.5393375,-0.8688124,-0.86582756,1,1
18,-1.9206833,1.2352871,2.2150383,-0.4219547,-3.8368235,4.58079,-0.895245,1.5296948,-2.3234203,2.3370457,-3.235203,1.3796777,0.039795395,1.1709603,-1.282236,-3.315089,3.1252859,0.18905301,-0.38513616,-0.0805121,1.2360317,-0.41858664,-1.5755534,4.63865,-0.1383475,-0.5378567,0.41529799,1.4040221,-1.58958,0.6980388,5.812428,1.325874,0,0
19,-2.034906,1.1745378,2.2519574,-0.32244107,-3.7461846,4.504004,-0.7961451,1.4585539,-2.4299848,2.5014684,-3.219862,1.4203755,0.052831054,1.0043944,-1.295965,-3.2673674,3.3451123,0.40062842,-0.28928056,-0.17269664,1.2651916,-0.4319833,-1.6110464,4.773437,-0.12303183,-0.57058376,0.46902058,1.4689406,-1.6049392,0.58079624,5.9473925,1.445708,1,0
20,0.6524108,-0.08912202,-1.2872666,-0.41584584,-0.39749673,-0.84062034,-1.0116681,-0.045117702,0.41492853,0.42661497,1.6102065,-1.5836643,0.08404804,-0.76169866,-0.58610606,-0.6671914,0.9737537,-0.845551,0.97506356,0.9195175,0.6150152,0.67162037,-0.0048612654,0.16586041,-1.4583495,1.07314,0.18098943,-1.2799697,-0.81172144,-0.7534521,-0.39232737,-0.7194693,1,1
