bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b7,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K29313308,6,0.39,277,0.332355,1.32827,"""""""""""""""""""""""""""""""""",8.83192,3.17962,0.321382,0.551588,7.78,30.5484,1,1,BRD-K29313308,HDAC002_HA1E_6H:BRD-K29313308-001-02-4:10,trt_cp,HA1E,H07|I07,HDAC002_HA1E_6H_X3_B7_DUO52HI53LO|HDAC002_HA1E_6H_X4_B7_DUO52HI53LO|HDAC002_HA1E_6H_X5_B7_DUO52HI53LO,HDAC002_HA1E_6H_X3_B7_DUO52HI53LO:H07|HDAC002_HA1E_6H_X3_B7_DUO52HI53LO:I07|HDAC002_HA1E_6H_X4_B7_DUO52HI53LO:H07|HDAC002_HA1E_6H_X4_B7_DUO52HI53LO:I07|HDAC002_HA1E_6H_X5_B7_DUO52HI53LO:H07|HDAC002_HA1E_6H_X5_B7_DUO52HI53LO:I07,,HDAC,HDAC3-selective,1,1,0,1,HDAC3-selective_10 uM_6 h_HA1E,1,HDAC3-selective_10 uM_6 h
f1b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K90382497-001-03-2,3,0.6083,330,0.45305,0,"0.31,0.34,0.35",0,0.285307,0.530522,0.676407,12.99,57.1059,1,1,BRD-K90382497,CPC006_HA1E_24H:L01,trt_cp,HA1E,L01,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO|CPC006_HA1E_24H_X2_B3_DUO52HI53LO|CPC006_HA1E_24H_X3_B3_DUO52HI53LO,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO:L01|CPC006_HA1E_24H_X2_B3_DUO52HI53LO:L01|CPC006_HA1E_24H_X3_B3_DUO52HI53LO:L01,,CPC,GW-843682X,1,1,0,1,GW-843682X_10 uM_24 h_HA1E,1,GW-843682X_10 uM_24 h
f1b3,60,64,uM,60 uM,24 h,24,h,HA1E,BRD-K05653692-003-04-7,3,0.5333,320,0.417726,0,"0.31,0.34,0.35",0,0,0.477391,0.735464,12.99,57.1059,1,1,BRD-K05653692,CPC006_HA1E_24H:B16,trt_cp,HA1E,B16,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO|CPC006_HA1E_24H_X2_B3_DUO52HI53LO|CPC006_HA1E_24H_X3_B3_DUO52HI53LO,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO:B16|CPC006_HA1E_24H_X2_B3_DUO52HI53LO:B16|CPC006_HA1E_24H_X3_B3_DUO52HI53LO:B16,,CPC,DL-PDMP,1,1,0,1,DL-PDMP_60 uM_24 h_HA1E,1,DL-PDMP_60 uM_24 h
b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K26548821,3,0.22,494,0.333354,0.182149,"""""""""""""""""""""""""""""""""",11.7573,35.9558,0.102742,0.192195,20.29,80.3905,0,1,BRD-K26548821,CPC002_HA1E_6H:BRD-K26548821-001-01-8:10,trt_cp,HA1E,E23,CPC002_HA1E_6H_X1_B3_DUO52HI53LO|CPC002_HA1E_6H_X2_B3_DUO52HI53LO|CPC002_HA1E_6H_X3_B3_DUO52HI53LO,CPC002_HA1E_6H_X1_B3_DUO52HI53LO:E23|CPC002_HA1E_6H_X2_B3_DUO52HI53LO:E23|CPC002_HA1E_6H_X3_B3_DUO52HI53LO:E23,,CPC,BRD-K26548821,1,1,0,1,BRD-K26548821_10 uM_6 h_HA1E,1,BRD-K26548821_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K30511626,3,0.38,249,0.311044,3.40386,"""""""""""""""""""""""""""""""""",14.637,6.16129,0.299458,0.461023,10.25,43.4396,0,1,BRD-K30511626,CPC013_HA1E_6H:BRD-K30511626-001-01-7:10,trt_cp,HA1E,P04,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:P04|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:P04|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:P04,,CPC,BRD-K30511626,1,1,0,1,BRD-K30511626_10 uM_6 h_HA1E,1,BRD-K30511626_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K50234570,3,0.48,305,0.386902,0,"""""""""""""""""""""""""""""""""",0.266697,0,0.358539,0.690108,17.92,74.0741,1,1,BRD-K50234570,CPC020_HA1E_6H:BRD-K50234570-001-09-0:10,trt_cp,HA1E,G21,CPC020_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC020_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC020_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC020_HA1E_6H_X1_F1B3_DUO52HI53LO:G21|CPC020_HA1E_6H_X2_F1B3_DUO52HI53LO:G21|CPC020_HA1E_6H_X3_F1B3_DUO52HI53LO:G21,,CPC,EMF-bca1-16,1,1,0,1,EMF-bca1-16_10 uM_6 h_HA1E,1,EMF-bca1-16_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K17415526,3,0.54,228,0.354809,0,"""""""""""""""""""""""""""""""""",0,0,0.479442,0.70798,13.41,59.1444,1,1,BRD-K17415526,CPC003_HA1E_24H:BRD-K17415526-001-02-7:10,trt_cp,HA1E,H18,CPC003_HA1E_24H_X1_B3_DUO52HI53LO|CPC003_HA1E_24H_X2_B3_DUO52HI53LO|CPC003_HA1E_24H_X3_B3_DUO52HI53LO,CPC003_HA1E_24H_X1_B3_DUO52HI53LO:H18|CPC003_HA1E_24H_X2_B3_DUO52HI53LO:H18|CPC003_HA1E_24H_X3_B3_DUO52HI53LO:H18,,CPC,BRD-K17415526,1,1,0,1,BRD-K17415526_10 uM_24 h_HA1E,1,BRD-K17415526_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K68174511,3,0.59,337,0.450891,0,"""""""""""""""""""""""""""""""""",0.26738,0,0.421096,0.743363,18.2,74.7918,1,1,BRD-K68174511,CPC014_HA1E_6H:BRD-K68174511-001-01-7:10,trt_cp,HA1E,I01,CPC014_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC014_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC014_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC014_HA1E_6H_X1_F1B3_DUO52HI53LO:I01|CPC014_HA1E_6H_X2_F1B3_DUO52HI53LO:I01|CPC014_HA1E_6H_X3_F1B3_DUO52HI53LO:I01,,CPC,torin-2,1,1,0,1,torin-2_10 uM_6 h_HA1E,1,torin-2_10 uM_6 h
f1b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K78867378-001-07-3,3,0.7708,584,0.678434,0.0237643,"0.31,0.35,0.34",0.142857,0,0.680267,0.804349,12.99,57.1059,1,1,BRD-K78867378,CPC006_HA1E_24H:N18,trt_cp,HA1E,N18,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO|CPC006_HA1E_24H_X2_B3_DUO52HI53LO|CPC006_HA1E_24H_X3_B3_DUO52HI53LO,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO:N18|CPC006_HA1E_24H_X2_B3_DUO52HI53LO:N18|CPC006_HA1E_24H_X3_B3_DUO52HI53LO:N18,,CPC,MW-A1-12,1,1,0,1,MW-A1-12_10 uM_24 h_HA1E,1,MW-A1-12_10 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K61981833,3,0.43,230,0.318001,0,"""""""""""""""""""""""""""""""""",0,0.134048,0.416652,0.668022,19.3,78.0362,1,1,BRD-K61981833,CPC009_HA1E_6H:BRD-K61981833-001-03-9:10,trt_cp,HA1E,A16,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:A16|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:A16|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:A16,,CPC,KU-C104227,1,1,0,1,KU-C104227_10 uM_6 h_HA1E,1,KU-C104227_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-A86792397,3,0.43,299,0.362577,0.453309,"""""""""""""""""""""""""""""""""",2.13904,3.34475,0.428907,0.555025,19.3,78.0362,1,1,BRD-A86792397,CPC009_HA1E_6H:BRD-A86792397-001-01-5:10,trt_cp,HA1E,I01,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:I01|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:I01|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:I01,,CPC,BRD-A86792397,1,1,0,1,BRD-A86792397_10 uM_6 h_HA1E,1,BRD-A86792397_10 uM_6 h
