bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K92428232,3,0.6347,392,0.50438,0,"0.34,0.32,0.34",0,0,0.577994,0.794211,15.05,64.944,1,1,BRD-K92428232,LJP008_HUVEC_24H:B07,trt_cp,HUVEC,B07,LJP008_HUVEC_24H_X1_B21|LJP008_HUVEC_24H_X2_B21|LJP008_HUVEC_24H_X3_B21,LJP008_HUVEC_24H_X1_B21:B07|LJP008_HUVEC_24H_X2_B21:B07|LJP008_HUVEC_24H_X3_B21:B07,,LJP,GSK-461364,1,1,0,1,102,GSK-461364_10 uM_24 h_HUVEC,1,GSK-461364_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K21718444,3,0.538,310,0.412955,0,"0.34,0.34,0.31",0,0.136612,0.460725,0.739646,19.92,79.4717,1,1,BRD-K21718444,LJP007_HUVEC_24H:G01,trt_cp,HUVEC,G01,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:G01|LJP007_HUVEC_24H_X2_B21:G01|LJP007_HUVEC_24H_X3.A2_B20:G01,,LJP,KW-2449,1,1,0,1,102,KW-2449_10 uM_24 h_HUVEC,1,KW-2449_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K44227013,3,0.6796,627,0.660072,0.0675676,"0.28,0.37,0.36",0.539084,0.404313,0.478476,0.649904,19.03,77.3184,1,1,BRD-K44227013,LJP009_HUVEC_24H:E19,trt_cp,HUVEC,E19,LJP009_HUVEC_24H_X1_B21|LJP009_HUVEC_24H_X2_B21|LJP009_HUVEC_24H_X3_B21,LJP009_HUVEC_24H_X1_B21:E19|LJP009_HUVEC_24H_X2_B21:E19|LJP009_HUVEC_24H_X3_B21:E19,,LJP,ponatinib,1,1,0,1,102,ponatinib_10 uM_24 h_HUVEC,1,ponatinib_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K57169635,3,0.4586,261,0.349839,0,"0.34,0.36,0.30",0,0,0.392531,0.766823,19.92,79.4717,1,1,BRD-K57169635,LJP007_HUVEC_24H:G07,trt_cp,HUVEC,G07,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:G07|LJP007_HUVEC_24H_X2_B21:G07|LJP007_HUVEC_24H_X3.A2_B20:G07,,LJP,dacomitinib,1,1,0,1,102,dacomitinib_10 uM_24 h_HUVEC,1,dacomitinib_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K28392481,3,0.6026,369,0.476824,0,"0.33,0.34,0.32",0,0.136612,0.565632,0.766866,19.92,79.4717,1,1,BRD-K28392481,LJP007_HUVEC_24H:F13,trt_cp,HUVEC,F13,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:F13|LJP007_HUVEC_24H_X2_B21:F13|LJP007_HUVEC_24H_X3.A2_B20:F13,,LJP,AZD-4547,1,1,0,1,102,AZD-4547_10 uM_24 h_HUVEC,1,AZD-4547_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-A29009894,3,0.6781,414,0.535769,0,"0.33,0.33,0.35",0,0.135501,0.668454,0.79067,19.03,77.3184,1,1,BRD-A29009894,LJP009_HUVEC_24H:L19,trt_cp,HUVEC,L19,LJP009_HUVEC_24H_X1_B21|LJP009_HUVEC_24H_X2_B21|LJP009_HUVEC_24H_X3_B21,LJP009_HUVEC_24H_X1_B21:L19|LJP009_HUVEC_24H_X2_B21:L19|LJP009_HUVEC_24H_X3_B21:L19,,LJP,AZD-1480,1,1,0,1,102,AZD-1480_10 uM_24 h_HUVEC,1,AZD-1480_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K83972459,3,0.7514,517,0.630248,0,"0.34,0.34,0.32",0,0,0.681769,0.851793,19.03,77.3184,1,1,BRD-K83972459,LJP009_HUVEC_24H:C01,trt_cp,HUVEC,C01,LJP009_HUVEC_24H_X1_B21|LJP009_HUVEC_24H_X2_B21|LJP009_HUVEC_24H_X3_B21,LJP009_HUVEC_24H_X1_B21:C01|LJP009_HUVEC_24H_X2_B21:C01|LJP009_HUVEC_24H_X3_B21:C01,,LJP,JWE-035,1,1,0,1,102,JWE-035_10 uM_24 h_HUVEC,1,JWE-035_10 uM_24 h
b21,0.37,0.37,uM,0.37 uM,24 h,24,h,HUVEC,BRD-K76694128,3,0.5837,354,0.45965,0,"0.34,0.36,0.30",0,0.556408,0.499697,0.605616,19.92,79.4717,1,1,BRD-K76694128,LJP007_HUVEC_24H:I22,trt_cp,HUVEC,I22,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:I22|LJP007_HUVEC_24H_X2_B21:I22|LJP007_HUVEC_24H_X3.A2_B20:I22,,LJP,rebastinib,1,1,0,1,102,rebastinib_0.37 uM_24 h_HUVEC,1,rebastinib_0.37 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-A68739437,3,0.5444,263,0.38262,0.022604,"0.34,0.28,0.37",0.954051,0.136612,0.42433,0.665992,15.05,64.944,1,1,BRD-A68739437,LJP008_HUVEC_24H:A13,trt_cp,HUVEC,A13,LJP008_HUVEC_24H_X1_B21|LJP008_HUVEC_24H_X2_B21|LJP008_HUVEC_24H_X3_B21,LJP008_HUVEC_24H_X1_B21:A13|LJP008_HUVEC_24H_X2_B21:A13|LJP008_HUVEC_24H_X3_B21:A13,,LJP,NPK76-II-72-1,1,1,0,1,102,NPK76-II-72-1_10 uM_24 h_HUVEC,1,NPK76-II-72-1_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K07859598,3,0.3906,256,0.319755,0.135135,"0.30,0.32,0.38",3.80215,5.42819,0.351489,0.553768,19.03,77.3184,1,1,BRD-K07859598,LJP009_HUVEC_24H:E01,trt_cp,HUVEC,E01,LJP009_HUVEC_24H_X1_B21|LJP009_HUVEC_24H_X2_B21|LJP009_HUVEC_24H_X3_B21,LJP009_HUVEC_24H_X1_B21:E01|LJP009_HUVEC_24H_X2_B21:E01|LJP009_HUVEC_24H_X3_B21:E01,,LJP,GW-5074,1,1,0,1,102,GW-5074_10 uM_24 h_HUVEC,1,GW-5074_10 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HUVEC,BRD-K64857848,3,0.5556,434,0.496543,0.0686813,"0.26,0.39,0.35",0.276296,0.136612,0.374131,0.726858,19.92,79.4717,1,1,BRD-K64857848,LJP007_HUVEC_24H:A07,trt_cp,HUVEC,A07,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:A07|LJP007_HUVEC_24H_X2_B21:A07|LJP007_HUVEC_24H_X3.A2_B20:A07,,LJP,XMD-885,1,1,0,1,102,XMD-885_10 uM_24 h_HUVEC,1,XMD-885_10 uM_24 h
b21,1.11,1.11,uM,1.11 uM,24 h,24,h,HUVEC,BRD-K09991945,3,0.3335,400,0.369325,1.12179,"0.33,0.50,0.17",2.86736,14.466,0.189514,0.436961,19.92,79.4717,1,1,BRD-K09991945,LJP007_HUVEC_24H:N03,trt_cp,HUVEC,N03,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:N03|LJP007_HUVEC_24H_X2_B21:N03|LJP007_HUVEC_24H_X3.A2_B20:N03,,LJP,BRD-K09991945,1,1,0,1,102,BRD-K09991945_1.11 uM_24 h_HUVEC,1,BRD-K09991945_1.11 uM_24 h
b21,1.11,1.11,uM,1.11 uM,24 h,24,h,HUVEC,BRD-K29415052,3,0.7149,532,0.623604,0.0228938,"0.34,0.36,0.30",0.140056,1.11356,0.600647,0.764255,19.92,79.4717,1,1,BRD-K29415052,LJP007_HUVEC_24H:N09,trt_cp,HUVEC,N09,LJP007_HUVEC_24H_X1_B21|LJP007_HUVEC_24H_X2_B21|LJP007_HUVEC_24H_X3.A2_B20,LJP007_HUVEC_24H_X1_B21:N09|LJP007_HUVEC_24H_X2_B21:N09|LJP007_HUVEC_24H_X3.A2_B20:N09,,LJP,BGT-226,1,1,0,1,102,BGT-226_1.11 uM_24 h_HUVEC,1,BGT-226_1.11 uM_24 h
